layer,approach,run,ms
patch_embed,our_kernel,0,0.527
patch_embed,our_kernel,1,0.527
patch_embed,our_kernel,2,0.526
patch_embed,our_kernel,3,0.524
patch_embed,our_kernel,4,0.528
patch_embed,our_kernel,5,0.526
patch_embed,our_kernel,6,0.528
patch_embed,our_kernel,7,0.529
patch_embed,our_kernel,8,0.525
patch_embed,our_kernel,9,0.525
patch_embed,cutlass_fused,0,0.535
patch_embed,cutlass_fused,1,0.535
patch_embed,cutlass_fused,2,0.536
patch_embed,cutlass_fused,3,0.536
patch_embed,cutlass_fused,4,0.537
patch_embed,cutlass_fused,5,0.537
patch_embed,cutlass_fused,6,0.535
patch_embed,cutlass_fused,7,0.535
patch_embed,cutlass_fused,8,0.537
patch_embed,cutlass_fused,9,0.535
patch_embed,cutlass_gemm,0,0.412
patch_embed,cutlass_gemm,1,0.411
patch_embed,cutlass_gemm,2,0.412
patch_embed,cutlass_gemm,3,0.413
patch_embed,cutlass_gemm,4,0.415
patch_embed,cutlass_gemm,5,0.414
patch_embed,cutlass_gemm,6,0.412
patch_embed,cutlass_gemm,7,0.412
patch_embed,cutlass_gemm,8,0.413
patch_embed,cutlass_gemm,9,0.412
fc1,our_kernel,0,2.408
fc1,our_kernel,1,2.408
fc1,our_kernel,2,2.409
fc1,our_kernel,3,2.409
fc1,our_kernel,4,2.409
fc1,our_kernel,5,2.409
fc1,our_kernel,6,2.41
fc1,our_kernel,7,2.408
fc1,our_kernel,8,2.41
fc1,our_kernel,9,2.409
fc1,cutlass_fused,0,2.323
fc1,cutlass_fused,1,2.323
fc1,cutlass_fused,2,2.323
fc1,cutlass_fused,3,2.323
fc1,cutlass_fused,4,2.323
fc1,cutlass_fused,5,2.323
fc1,cutlass_fused,6,2.323
fc1,cutlass_fused,7,2.323
fc1,cutlass_fused,8,2.323
fc1,cutlass_fused,9,2.322
fc1,cutlass_gemm,0,1.611
fc1,cutlass_gemm,1,1.614
fc1,cutlass_gemm,2,1.613
fc1,cutlass_gemm,3,1.613
fc1,cutlass_gemm,4,1.613
fc1,cutlass_gemm,5,1.613
fc1,cutlass_gemm,6,1.613
fc1,cutlass_gemm,7,1.613
fc1,cutlass_gemm,8,1.612
fc1,cutlass_gemm,9,1.615
fc2,our_kernel,0,1.657
fc2,our_kernel,1,1.658
fc2,our_kernel,2,1.657
fc2,our_kernel,3,1.661
fc2,our_kernel,4,1.66
fc2,our_kernel,5,1.662
fc2,our_kernel,6,1.661
fc2,our_kernel,7,1.659
fc2,our_kernel,8,1.659
fc2,our_kernel,9,1.659
fc2,cutlass_fused,0,1.224
fc2,cutlass_fused,1,1.223
fc2,cutlass_fused,2,1.223
fc2,cutlass_fused,3,1.223
fc2,cutlass_fused,4,1.225
fc2,cutlass_fused,5,1.223
fc2,cutlass_fused,6,1.223
fc2,cutlass_fused,7,1.225
fc2,cutlass_fused,8,1.223
fc2,cutlass_fused,9,1.224
fc2,cutlass_gemm,0,1.145
fc2,cutlass_gemm,1,1.146
fc2,cutlass_gemm,2,1.146
fc2,cutlass_gemm,3,1.146
fc2,cutlass_gemm,4,1.147
fc2,cutlass_gemm,5,1.147
fc2,cutlass_gemm,6,1.147
fc2,cutlass_gemm,7,1.146
fc2,cutlass_gemm,8,1.147
fc2,cutlass_gemm,9,1.147
