N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,100,2,1,0,8,0,3,1,0,0,0,209,0,193.0,0.525,2084.81,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,2,1,1,8,0,0,1,0,0,0,209,0,193.0,0.525,2085.42,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100
4,4,2,1,32,160,2,1,1,8,0,0,1,0,0,0,211,0,193.0,0.525,2084.2,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,8,0,3,1,0,0,0,211,0,193.0,0.525,2085.5,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,2,1,1,8,0,0,0,1,0,0,224,0,193.0,0.525,2083.93,OK,-DK_LOOP_UNROLL=8 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,2,1,0,4,0,0,1,0,0,0,209,0,193.0,0.526,2079.98,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,2,1,0,6,0,0,1,0,0,0,173,0,193.0,0.526,2081.42,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,2,1,0,8,0,0,1,0,0,0,209,0,193.0,0.526,2081.55,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,2,1,1,6,0,3,1,0,0,0,173,0,193.0,0.526,2080.79,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,2,1,1,8,4,1,1,0,0,0,165,0,193.0,0.526,2081.58,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
