Kernel: fc2 (fc2.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 -DK_LOOP_UNROLL=4 ... 2.043 ms / 2144 TFLOPS  (208 regs, 3.1s)
[2/3] (defaults) ... 1.656 ms / 2645 TFLOPS  (255 regs, 3.1s)
[3/3] -DN_STAGES=5 -DK_LOOP_UNROLL=4 ... 2.406 ms / 1820 TFLOPS  (217 regs, 3.0s)

Tier 1 winner (top-3): (defaults) → 1.656 ms / 2645 TFLOPS
  #2: -DN_STAGES=3 -DK_LOOP_UNROLL=4 → 2.043 ms / 2144 TFLOPS
  #3: -DN_STAGES=5 -DK_LOOP_UNROLL=4 → 2.406 ms / 1820 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/3: (defaults)
Sweep: 128 total, 128 valid, 0 pruned
Estimated time: ~11 min (128 configs × ~5s each)

[30/128] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... 1.685 ms / 2599 TFLOPS  (255 regs, 3.2s)
[31/128] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 1.667 ms / 2628 TFLOPS  (254 regs, 3.0s)
[32/128] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... 1.682 ms / 2604 TFLOPS  (255 regs, 3.2s)
[33/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=0 ... 1.664 ms / 2633 TFLOPS  (254 regs, 2.9s)
[34/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... 1.665 ms / 2631 TFLOPS  (254 regs, 3.2s)
[35/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40 ... 1.662 ms / 2635 TFLOPS  (254 regs, 3.0s)
[36/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... 1.665 ms / 2631 TFLOPS  (255 regs, 3.1s)
[37/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60 ... 1.658 ms / 2642 TFLOPS  (254 regs, 3.0s)
[38/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... 1.664 ms / 2633 TFLOPS  (255 regs, 3.2s)
[39/128] -DINTERLEAVE_STRATEGY=1 ... 1.656 ms / 2645 TFLOPS  (254 regs, 2.9s)
[40/128] -DINTERLEAVE_STRATEGY=1 -DTMEM_LOAD_WIDTH=64 ... 1.662 ms / 2635 TFLOPS  (255 regs, 3.2s)
[41/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 ... 1.655 ms / 2646 TFLOPS  (254 regs, 3.1s)
[42/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... 1.664 ms / 2632 TFLOPS  (255 regs, 3.2s)
[43/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 ... 1.655 ms / 2647 TFLOPS  (254 regs, 3.0s)
[44/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... 1.659 ms / 2640 TFLOPS  (255 regs, 3.2s)
[45/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160 ... 1.655 ms / 2646 TFLOPS  (254 regs, 3.1s)
[46/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... 1.662 ms / 2636 TFLOPS  (255 regs, 3.1s)
[47/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 ... 1.655 ms / 2647 TFLOPS  (254 regs, 2.9s)
[48/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... 1.660 ms / 2638 TFLOPS  (255 regs, 3.2s)
[49/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 1.660 ms / 2639 TFLOPS  (254 regs, 3.0s)
[50/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... 1.664 ms / 2632 TFLOPS  (255 regs, 3.2s)
[51/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 1.656 ms / 2645 TFLOPS  (255 regs, 3.1s)
[52/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... 1.662 ms / 2636 TFLOPS  (255 regs, 3.2s)
[53/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 1.658 ms / 2642 TFLOPS  (255 regs, 3.0s)
[54/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... 1.660 ms / 2639 TFLOPS  (255 regs, 3.1s)
[55/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 ... 1.659 ms / 2640 TFLOPS  (255 regs, 3.0s)
[56/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... 1.665 ms / 2631 TFLOPS  (255 regs, 3.2s)
[57/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 1.658 ms / 2642 TFLOPS  (255 regs, 3.0s)
[58/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... 1.663 ms / 2634 TFLOPS  (255 regs, 3.2s)
[59/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 1.657 ms / 2643 TFLOPS  (255 regs, 2.9s)
[60/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... 1.664 ms / 2631 TFLOPS  (255 regs, 3.2s)
[61/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 1.657 ms / 2643 TFLOPS  (255 regs, 3.0s)
[62/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... 1.661 ms / 2636 TFLOPS  (255 regs, 3.2s)
[63/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 1.660 ms / 2639 TFLOPS  (255 regs, 3.0s)
[64/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... 1.661 ms / 2637 TFLOPS  (255 regs, 3.3s)
[65/128] -DSTAGGER_CYCLES=0 ... 1.660 ms / 2639 TFLOPS  (254 regs, 3.0s)
[66/128] -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... 1.673 ms / 2618 TFLOPS  (255 regs, 3.2s)
[67/128] -DSTAGGER_CYCLES=40 ... 1.658 ms / 2641 TFLOPS  (255 regs, 2.9s)
[68/128] -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... 1.674 ms / 2617 TFLOPS  (255 regs, 3.3s)
[69/128] -DSTAGGER_CYCLES=60 ... 1.657 ms / 2644 TFLOPS  (255 regs, 3.0s)
[70/128] -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... 1.674 ms / 2616 TFLOPS  (255 regs, 3.2s)
[71/128] (defaults) ... 1.656 ms / 2645 TFLOPS  (255 regs, 3.0s)
[72/128] -DTMEM_LOAD_WIDTH=64 ... 1.674 ms / 2617 TFLOPS  (255 regs, 3.2s)
[73/128] -DSTAGGER_CYCLES=100 ... 1.655 ms / 2647 TFLOPS  (255 regs, 3.0s)
[74/128] -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... 1.670 ms / 2622 TFLOPS  (255 regs, 3.2s)
[75/128] -DSTAGGER_CYCLES=120 ... 1.658 ms / 2642 TFLOPS  (255 regs, 3.0s)
[76/128] -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... 1.672 ms / 2620 TFLOPS  (255 regs, 3.2s)
[77/128] -DSTAGGER_CYCLES=160 ... 1.656 ms / 2645 TFLOPS  (255 regs, 3.0s)
[78/128] -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... 1.674 ms / 2616 TFLOPS  (255 regs, 3.3s)
[79/128] -DSTAGGER_CYCLES=200 ... 1.657 ms / 2644 TFLOPS  (255 regs, 3.1s)
[80/128] -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... 1.670 ms / 2623 TFLOPS  (255 regs, 3.2s)
[81/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 1.661 ms / 2637 TFLOPS  (254 regs, 3.1s)
[82/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... 1.672 ms / 2620 TFLOPS  (255 regs, 3.2s)
[83/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 1.658 ms / 2641 TFLOPS  (255 regs, 3.0s)
[84/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... 1.671 ms / 2621 TFLOPS  (255 regs, 3.2s)
[85/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 1.655 ms / 2646 TFLOPS  (255 regs, 3.0s)
[86/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... 1.671 ms / 2622 TFLOPS  (255 regs, 3.2s)
[87/128] -DMBAR_EARLY=1 ... 1.655 ms / 2646 TFLOPS  (255 regs, 3.0s)
[88/128] -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... 1.667 ms / 2627 TFLOPS  (255 regs, 3.2s)
[89/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 1.657 ms / 2643 TFLOPS  (255 regs, 3.0s)
[90/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... 1.670 ms / 2623 TFLOPS  (255 regs, 3.2s)
[91/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 1.656 ms / 2645 TFLOPS  (255 regs, 3.0s)
[92/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... 1.670 ms / 2623 TFLOPS  (255 regs, 3.2s)
[93/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 1.658 ms / 2642 TFLOPS  (255 regs, 3.0s)
[94/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... 1.670 ms / 2622 TFLOPS  (255 regs, 3.2s)
[95/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 1.658 ms / 2642 TFLOPS  (255 regs, 3.0s)
[96/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... 1.667 ms / 2628 TFLOPS  (255 regs, 3.3s)
[97/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=0 ... 1.677 ms / 2612 TFLOPS  (254 regs, 3.0s)
[98/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... 1.686 ms / 2598 TFLOPS  (255 regs, 3.2s)
[99/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=40 ... 1.676 ms / 2613 TFLOPS  (254 regs, 3.1s)
[100/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... 1.680 ms / 2607 TFLOPS  (255 regs, 3.1s)
[101/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=60 ... 1.674 ms / 2617 TFLOPS  (254 regs, 3.0s)
[102/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... 1.679 ms / 2609 TFLOPS  (255 regs, 3.2s)
[103/128] -DINTERLEAVE_STRATEGY=3 ... 1.678 ms / 2611 TFLOPS  (254 regs, 3.0s)
[104/128] -DINTERLEAVE_STRATEGY=3 -DTMEM_LOAD_WIDTH=64 ... 1.679 ms / 2608 TFLOPS  (255 regs, 3.3s)
[105/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=100 ... 1.672 ms / 2619 TFLOPS  (254 regs, 2.9s)
[106/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... 1.681 ms / 2606 TFLOPS  (255 regs, 3.3s)
[107/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=120 ... 1.677 ms / 2612 TFLOPS  (254 regs, 3.0s)
[108/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... 1.677 ms / 2611 TFLOPS  (255 regs, 3.3s)
[109/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=160 ... 1.674 ms / 2616 TFLOPS  (254 regs, 2.9s)
