Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_barrier.avg                                  |     271,656.3 |      45,002.6 |    -83.4% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      20,952.3 |       4,864.7 |    -76.8% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,117,224 |     2,758,379 |     30.3% | warp
launch__registers_per_thread                                           |         126.0 |         164.0 |     30.2% | register/thread
dram__sectors_read.sum                                                 |   212,173,000 |   152,333,600 |    -28.2% | sector
lts__t_sector_hit_rate.pct                                             |         45.85 |         57.13 |     24.6% | %
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         57.47 |         45.55 |    -20.7% | %
smsp__warps_issue_stalled_short_scoreboard.avg                         |     168,700.8 |     200,824.8 |     19.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    27,943,932 |    32,114,896 |     14.9% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,171,433 |    16,351,246 |    -14.7% | 
smsp__warps_issue_stalled_not_selected.avg                             |       6,697.8 |       7,392.2 |     10.4% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,214.4 |       2,364.5 |      6.8% | warp
smsp__inst_executed.sum                                                |   101,843,853 |   107,913,996 |      6.0% | inst
lts__t_sectors_op_read.sum                                             |   673,397,167 |   637,018,075 |     -5.4% | sector
