name,bijective,intra_tm_run,intra_tn_run,wf_uniq_tm_mean,wf_uniq_tn_mean,wf_tm_mult_mean,wf_tn_mult_mean,wf_uniq_tm_max,fresh_tm_p50,fresh_tm_max,fresh_tm_total,l2_warm_w8,l2_warm_w24,tm_tick_spread,tm_extent_mean,tm_density_mean,same_tn_mass_mean,same_tn_mass_max,tick_irreg_mean,tick_irreg_p95,wf_tn_entropy,wf_tm_entropy,cluster_tn_corr,cluster_tm_corr,adj_tn_diff,adj_tm_diff,pair_same_tn,cluster_tm_var,pc_tn_traj_dist
dgsw_G2,True,1,1,26,3,2.8461538461538463,24.666666666666668,26,24,26,3626,0.02702702702702703,0.02702702702702703,0.3513513513513513,26,1.0,0.35135135135135137,0.35135135135135137,0,0,1.5839177885170053,4.674128477559387,0.024889647332417414,0.9960189022317231,0.6575342465753424,1.0,0.3246945575712699,1095605.3333333333,0.6469387755102041
dgsw_G4,True,1,1.9857706355003653,27.31972789115646,3,2.7120056813934363,24.666666666666668,28,24,26,3626,0.05444293214077387,0.05405405405405406,0.3691855120426549,27.31972789115646,1.0,0.35135135135135137,0.35135135135135137,0.684931506849315,2,1.5838956586910196,4.723259583959434,0.061823139293780305,0.9833629940678229,0.32886031124778675,1.32858074736744,0.32470463194533644,1095605.3414880936,0.7775232541996391
dgsw_G8,True,1,3.9166033305435866,29.931972789115648,3,2.48824101068999,24.666666666666668,32,24,26,3626,0.10577483958778923,0.10678971654581411,0.40448611877183305,29.931972789115648,1.0,0.35135135135135137,0.35135135135135137,1.0136986301369864,2,1.5838956586910196,4.820508784256436,0.1314796168594258,0.9374490645914484,0.1645699375640667,1.4931506849315068,0.32470463194533644,1095605.4461892128,0.4919894488407608
dgsw_G16,True,1,1.0005553498704183,35.25170068027211,3,2.124848016772418,24.666666666666668,42,24,32,3626,0.2160217771728563,0.21423862887277523,0.4763743335171906,35.25170068027211,1.0,0.42526199669056813,0.43243243243243246,6.506849315068493,10,1.5419288111298268,5.018552728611266,0.10890768265159474,0.8034305056006732,0.0821917808219178,1.5755288416736557,0.34382579392364127,1095605.5459674585,0.24624462029709843
dgsw_G32,True,1,1.450856301846401,45.93197278911565,3,1.7213188572948714,24.666666666666668,64,30,32,3626,0.43009916391211356,0.43309162821357944,0.6207023349880493,45.93197278911565,1.0,0.4333517190660048,0.5675675675675675,13.95890410958904,22,1.489721973380371,5.416160136075568,0.5617944503648992,0.536841271968786,0.04118907837107445,1.6165315441244992,0.36393424456046763,1095605.4493510586,0.12355962793280578
dgsnake,True,1,3.9166033305435866,29.931972789115648,3,2.48824101068999,24.666666666666668,32,24,26,3626,0.10577483958778923,0.10678971654581411,0.40448611877183305,29.931972789115648,1.0,0.34234234234234234,0.35135135135135137,1.0136986301369864,2,1.5844378173479954,4.820508784256436,0.0005237926945281223,0.9374490645914484,1.2509551765911844,1.4931506849315068,0.3244477354066395,1095605.4461892128,0.5934332916840205
checkered,True,1,3.9166033305435866,29.931972789115648,3,2.48824101068999,24.666666666666668,32,24,26,3626,0.10577483958778923,0.10678971654581411,0.40448611877183305,29.931972789115648,1.0,0.35135135135135137,0.35135135135135137,1.0136986301369864,2,1.5838956586910196,4.820508784256436,0.1314796168594258,0.9374490645914484,0.1645699375640667,1.4931506849315068,0.32470463194533644,1095605.4461892128,0.4919894488407608
zigzag,True,1,1,25.333333333333332,3,2.922051282051282,24.666666666666668,26,25,25,3626,0.013610733035193468,0.013513513513513514,0.34234234234234234,25.333333333333332,1.0,0.34234234234234234,0.35135135135135137,0.6712328767123288,1,1.5844378173479954,4.649309671233589,0.018402704385039364,0.9992704827143222,0.6666666666666666,0.3333333333333333,0.3244477354066395,1095605.5555555555,0.6707482993197279
rowmajor,True,1,1,25.333333333333332,3,2.922051282051282,24.666666666666668,26,25,25,3626,0.013610733035193468,0.013513513513513514,0.34234234234234234,25.333333333333332,1.0,0.33783783783783783,0.33783783783783783,0.6712328767123288,1,1.5846978317634905,4.649309671233589,0.012893640845056955,0.9992704827143222,1.3333333333333333,0.3333333333333333,0.32432432432432434,1095605.5555555555,0.7163265306122449
ingh,True,1,1.4949150181108943,27.639455782312925,3,2.686419556412519,24.666666666666668,30,25,30,3626,0.059984444876531214,0.060316413974950564,0.3735061592204449,27.639455782312925,1.0,0.3667953667953668,0.40540540540540543,1.9246575342465753,4,1.5776577116134296,4.735162480870786,0.07894288133371714,0.966914305268682,0.7478333799273134,0.9143602646538067,0.32761108886353507,1095605.5272865535,0.5896432042204637
chet,True,1,1.0002776749352091,30.625850340136054,3,2.4261813537848536,24.666666666666668,34,25,29,3626,0.12152440209994167,0.12063282794990113,0.41386284243427096,1828.312925170068,0.01675029191812298,0.37938959367530795,0.3918918918918919,3.2534246575342465,5,1.5741089896888998,4.846340603085324,0.07382182896990157,0.8680564038179575,0.7510949585313578,25.575249277793308,0.3292381002752823,273901.359912599,0.6056781896432042
pmix,True,1,1.9671585098612125,51.98639455782313,1.6666666666666667,1.5379008746355685,49.333333333333336,74,34,40,3626,0.0348045887614233,0.032300593276203035,24.851259422687995,51.98639455782313,1.0,0.6848685420113991,1.0,1.2191780821917808,2,0.6648798125232053,5.614491056380931,0.035354120596831975,0.9850793598998991,0.08228496878203335,1.2465753424657535,0.6633547161922896,1095453.3487323225,0.3278217409412745
gflip,True,1,3.89711305571903,29.918367346938776,3.061224489795918,2.4898544765891706,24.540816326530614,32,24,26,3624,0.10577483958778923,0.10678971654581411,0.40450525152017686,38.89795918367347,0.794305867897261,0.350799779371208,0.35135135135135137,1.0273972602739727,2,1.5919830367939507,4.816970429320264,0.13386338018767435,0.6505120384746983,0.16606094492591555,2.107818469853695,0.3237576407830811,1095633.5113322402,0.4928224350964876
tn2br,True,1,3.9166033305435866,29.931972789115648,3,2.48824101068999,24.666666666666668,32,24,26,3626,0.10577483958778923,0.10678971654581411,0.40448611877183305,30.503401360544217,0.9810219972304829,0.35135135135135137,0.35135135135135137,1.0136986301369864,2,1.5838956586910196,4.820508784256436,0.1314796168594258,0.9334938422509051,0.1645699375640667,2.2462957785854067,0.32470463194533644,1095604.709911911,0.4919894488407608
ncycle,True,3,1,74,1,1.0,74.0,74,0,74,3626,0.6690647482014388,0.6666666666666666,1.0,74,1.0,1.0,1.0,0,0,0.0,6.2094533656289554,0.0,1.0,0.0,1.0,1.0,1095200.0,0.0
ncyrot,True,3,1,74,3,1.0,24.666666666666668,74,0,74,3626,0.6690647482014388,0.6666666666666666,1.0,74,1.0,0.33783783783783783,0.33783783783783783,0,0,1.5846978317634905,6.2094533656289554,0.62689281904785,1.0,0.0365296803652968,1.0,0.32432432432432434,1095200.0,0.11428571428571428
nflat,True,3,1,74,3,1.0,24.666666666666668,74,0,74,3626,0.6690647482014388,0.6666666666666666,1.0,74,1.0,0.33783783783783783,0.33783783783783783,0,0,1.5846978317634905,6.2094533656289554,0.62689281904785,1.0,0.0365296803652968,1.0,0.32432432432432434,1095200.0,0.11428571428571428
nsnake,True,3,1.4848484848484849,74,1,1.0,74.0,74,0,74,3626,0.6690647482014388,0.6666666666666666,1.0,74,1.0,1.0,1.0,0,0,0.0,6.2094533656289554,0.0,1.0,0.0,1.0,1.0,1095200.0,0.0
dgsw_G3,True,1,1.4946764946764948,26.65986394557823,3,2.7765955385003007,24.666666666666668,27,24,26,3626,0.04044332101886059,0.04087013843111404,0.3602684316970031,26.65986394557823,1.0,0.34684684684684686,0.35135135135135137,0.4520547945205479,1,1.5841722752896374,4.698694030759411,0.037080934866855125,0.9906538075851641,0.44450656975118813,1.2221600969154784,0.3245736650824714,1095605.5597229882,0.8060669165625434
dgsw_G6,True,1,2.9579014308426075,28.625850340136054,3,2.593992175624829,24.666666666666668,30,24,26,3626,0.08010888586428155,0.07976268951878708,0.38683581540724393,28.625850340136054,1.0,0.35135135135135137,0.35135135135135137,0.9041095890410958,2,1.5838956586910196,4.771884184107935,0.09954308532082802,0.9633876673899944,0.2193644581120119,1.4383561643835616,0.32470463194533644,1095605.3851936068,0.633430515063168
dgsw_off1,False,1,1.3302350205400044,27.224489795918366,3,2.7207644962747004,24.666666666666668,28,24,26,3626,0.043262687147579235,0.043177323665128546,0.7149476006618863,51.714285714285715,0.993246057385999,0.3479499908071337,0.35135135135135137,0.9863013698630136,2,1.5841141259327873,4.720477393988255,0.06318567187317323,0.9789199372804311,0.3322150778119467,1.6731898238747553,0.3246013696111544,1123080.541358518,0.7785783701235597
dgsw_off2,False,1,1.0031469825990373,27.346938775510203,3,2.709424135954748,24.666666666666668,30,26,26,3626,0.03616566206494264,0.036036036036036036,1.059073359073359,51.80952380952381,0.9932535617666813,0.35135135135135137,0.35135135135135137,1.356164383561644,2,1.5838956586910196,4.72413380486441,0.06254977401906389,0.9806758723946006,0.32895349920790234,1.6661075389059734,0.32470463194533644,1146528.0890319725,0.7774538386783285
xband_G4,False,1,50.32620814270885,29.959183673469386,3,2.485659465251302,24.666666666666668,32,24,26,3592,0.10577483958778923,0.10678971654581411,0.6782201187824796,2425.578231292517,0.012396978735023599,0.35135135135135137,0.35135135135135137,1.0136986301369864,2,1.5839177885170053,4.82138300516141,0.05054201357297539,0.9431047590971893,0.31478892927033825,34.52408908768987,0.3246945575712699,121676.21232644556,0.7544911842287936
dg4_diag,True,1,1.0001851166234728,27.31972789115646,3,2.7120056813934363,24.666666666666668,28,24,26,3626,0.05444293214077387,0.05405405405405406,0.3691855120426549,27.31972789115646,1.0,0.33783783783783783,0.33783783783783783,0.684931506849315,2,1.5846978317634905,4.723259583959434,0.012883061538138276,0.9833629940678229,1.3331469574131023,1.32858074736744,0.32432432432432434,1095605.3414880936,0.7163265306122449
dg4_pingpong,True,1,2.37622021810282,27.31972789115646,3,2.7120056813934363,24.666666666666668,28,24,26,3626,0.05444293214077387,0.05405405405405406,0.3691855120426549,27.31972789115646,1.0,0.35135135135135137,0.35135135135135137,0.684931506849315,2,1.5838956586910196,4.723259583959434,0.11089568192902866,0.9833629940678229,0.24666853042586898,1.32858074736744,0.32470463194533644,1095605.3414880936,0.6137303901152298
