Kernel: fc2 (fc2.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 -DK_LOOP_UNROLL=4 ... 2.046 ms / 2141 TFLOPS  (208 regs, 3.0s)
[2/3] (defaults) ... 1.654 ms / 2648 TFLOPS  (255 regs, 3.0s)
[3/3] -DN_STAGES=5 -DK_LOOP_UNROLL=4 ... 2.420 ms / 1810 TFLOPS  (217 regs, 3.0s)

Tier 1 winner: (defaults) → 1.654 ms / 2648 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
Sweep: 128 total, 128 valid, 0 pruned
Estimated time: ~11 min (128 configs × ~5s each)

[1/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=0 ... 1.671 ms / 2621 TFLOPS  (254 regs, 3.0s)
[2/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... 1.682 ms / 2604 TFLOPS  (255 regs, 3.1s)
[3/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=40 ... 1.668 ms / 2627 TFLOPS  (254 regs, 3.0s)
[4/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... 1.682 ms / 2603 TFLOPS  (255 regs, 3.2s)
[5/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=60 ... 1.669 ms / 2625 TFLOPS  (254 regs, 3.0s)
[6/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... 1.677 ms / 2611 TFLOPS  (255 regs, 3.2s)
[7/128] -DINTERLEAVE_STRATEGY=0 ... 1.669 ms / 2625 TFLOPS  (254 regs, 3.1s)
[8/128] -DINTERLEAVE_STRATEGY=0 -DTMEM_LOAD_WIDTH=64 ... 1.679 ms / 2609 TFLOPS  (255 regs, 3.3s)
[9/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=100 ... 1.667 ms / 2627 TFLOPS  (254 regs, 3.0s)
[10/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... 1.678 ms / 2610 TFLOPS  (255 regs, 3.2s)
[11/128] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=120 ... 1.668 ms / 2626 TFLOPS  (254 regs, 3.0s)
