Kernel: fc1_gelu (fc1_gelu.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 2 valid, 4 pruned
Estimated time: ~0 min (2 configs × ~5s each)

[1/2] -DNUM_EPI_WARPS=5 -DN_STAGES=3 -DK_LOOP_UNROLL=4 ... 2.873 ms / 1524 TFLOPS  (208 regs, 6.2s)
[2/2] -DNUM_EPI_WARPS=5 ... 2.700 ms / 1622 TFLOPS  (242 regs, 6.2s)

Tier 1 winner: -DNUM_EPI_WARPS=5 → 2.700 ms / 1622 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
Sweep: 128 total, 128 valid, 0 pruned
Estimated time: ~11 min (128 configs × ~5s each)

[1/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=0 ... 2.753 ms / 1591 TFLOPS  (240 regs, 6.2s)
[2/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[3/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=40 ... 2.782 ms / 1574 TFLOPS  (243 regs, 6.3s)
[4/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[5/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=60 ... 2.773 ms / 1579 TFLOPS  (243 regs, 6.3s)
[6/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
