N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,80,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.653,2650.22,OK,
4,4,2,1,32,100,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.653,2650.2,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,2,0,32,80,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.654,2647.61,OK,
4,4,2,1,32,120,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.654,2648.1,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,1,0,32,100,2,1,1,4,0,0,1,0,0,0,254,0,193.0,1.655,2645.81,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100
4,4,1,0,32,120,2,1,1,4,0,0,1,0,0,0,254,0,193.0,1.655,2645.95,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120
4,4,2,0,32,60,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.655,2646.93,OK,-DSTAGGER_CYCLES=60
4,4,2,0,32,120,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.655,2646.82,OK,-DSTAGGER_CYCLES=120
4,4,2,0,32,160,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.655,2646.81,OK,-DSTAGGER_CYCLES=160
4,4,2,0,32,200,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.655,2645.97,OK,-DSTAGGER_CYCLES=200
4,4,2,0,32,80,1,1,1,4,0,0,1,0,0,0,212,0,193.0,1.655,2645.95,OK,-DPHASE1_UNROLL=1
4,4,2,0,32,80,1,1,1,4,0,0,1,1,0,0,212,0,193.0,1.655,2646.32,OK,-DPHASE1_UNROLL=1 -DPREFETCH_BEFORE_STORE=1
4,4,1,0,32,80,2,1,1,4,0,0,1,0,0,0,254,0,193.0,1.656,2644.71,OK,-DINTERLEAVE_STRATEGY=1
4,4,1,0,32,200,2,1,1,4,0,0,1,0,0,0,254,0,193.0,1.656,2644.77,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200
4,4,1,1,32,100,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.656,2645.46,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,1,1,32,120,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.656,2645.06,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,2,1,32,160,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.656,2644.62,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,0,32,80,2,1,1,4,0,3,1,0,0,0,255,0,193.0,1.656,2645.43,OK,-DSUB_MMA_UNROLL=3
4,4,2,0,32,80,1,1,1,8,0,0,1,0,0,0,214,0,193.0,1.656,2644.67,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=1
4,4,2,0,32,80,1,1,1,8,0,3,1,0,0,0,214,0,193.0,1.656,2644.67,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=1 -DSUB_MMA_UNROLL=3
4,4,1,0,32,160,2,1,1,4,0,0,1,0,0,0,254,0,193.0,1.657,2642.63,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160
4,4,1,1,32,160,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.657,2643.93,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,0,32,100,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.657,2642.9,OK,-DSTAGGER_CYCLES=100
4,4,2,1,32,60,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.657,2643.19,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,2,1,32,80,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.657,2643.54,OK,-DMBAR_EARLY=1
4,4,2,1,32,200,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.657,2643.24,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,0,32,80,2,1,1,8,4,0,1,0,0,0,254,0,193.0,1.657,2642.87,OK,-DK_LOOP_UNROLL=8 -DW0_LOOP_UNROLL=4
4,4,1,0,32,40,2,1,1,4,0,0,1,0,0,0,254,0,193.0,1.658,2641.26,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40
4,4,1,1,32,80,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.658,2641.6,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1
4,4,2,1,32,40,2,1,1,4,0,0,1,0,0,0,255,0,193.0,1.658,2641.37,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,2,0,32,80,1,1,1,4,0,3,1,0,0,0,212,0,193.0,1.658,2641.29,OK,-DPHASE1_UNROLL=1 -DSUB_MMA_UNROLL=3
4,4,2,0,32,80,2,1,1,8,0,0,1,0,0,0,254,0,193.0,1.658,2641.8,OK,-DK_LOOP_UNROLL=8
