N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,120,2,1,1,6,4,3,1,0,0,0,173,0,193.0,0.527,2076.74,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,8,4,0,1,0,0,0,209,0,193.0,0.527,2076.7,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,0,6,0,1,1,0,0,0,165,0,193.0,0.527,2077.18,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,80,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.528,2073.39,OK,
4,4,2,0,32,100,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.528,2074.37,OK,-DSTAGGER_CYCLES=100
4,4,2,0,32,160,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.528,2075.72,OK,-DSTAGGER_CYCLES=160
4,4,2,1,32,80,2,1,1,4,0,0,1,0,0,0,210,0,193.0,0.528,2073.62,OK,-DMBAR_EARLY=1
4,4,2,1,32,100,2,1,1,4,0,0,1,0,0,0,210,0,193.0,0.528,2073.74,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,2,0,32,120,2,1,0,8,4,0,1,0,0,0,209,0,193.0,0.528,2075.58,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,4,0,3,1,0,0,0,209,0,193.0,0.528,2074.13,OK,-DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,2,1,1,8,0,1,1,0,0,0,165,0,193.0,0.528,2075.26,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,1,8,4,1,1,0,0,0,165,0,193.0,0.528,2071.95,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,8,4,3,1,0,0,0,209,0,193.0,0.528,2072.94,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,0,6,0,1,2,0,0,0,165,0,193.0,0.528,2074.38,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,0,6,0,1,2,1,0,0,165,0,193.0,0.528,2073.68,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,1,32,40,2,1,1,4,0,0,1,0,0,0,210,0,193.0,0.529,2070.99,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,2,0,32,120,2,1,0,4,0,0,1,0,0,0,209,0,193.0,0.529,2069.99,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,2,1,0,4,4,0,1,0,0,0,209,0,193.0,0.529,2070.25,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,0,4,0,0,1,0,0,0,255,0,193.0,0.529,2071.71,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,2,1,0,6,4,1,1,0,0,0,165,0,193.0,0.529,2069.5,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,0,6,0,1,1,0,0,0,214,0,193.0,0.529,2069.29,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,4,1,0,6,0,3,1,0,0,0,222,0,193.0,0.529,2069.72,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,4,1,0,8,0,0,1,0,0,0,255,0,193.0,0.529,2069.82,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,4,1,0,8,4,0,1,0,0,0,255,0,193.0,0.529,2068.68,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,0,8,0,1,1,0,0,0,214,0,193.0,0.529,2070.45,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,4,1,0,8,4,1,1,0,0,0,214,0,193.0,0.529,2069.79,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,0,8,0,3,1,0,0,0,255,0,193.0,0.529,2068.31,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,4,1,0,8,4,3,1,0,0,0,255,0,193.0,0.529,2070.93,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,6,0,1,1,0,0,0,165,0,193.0,0.529,2069.58,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,1,6,4,1,1,0,0,0,165,0,193.0,0.529,2068.89,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,6,0,0,1,0,0,0,222,0,193.0,0.529,2069.75,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,4,1,1,6,0,1,1,0,0,0,214,0,193.0,0.529,2069.9,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,4,1,1,8,0,1,1,0,0,0,214,0,193.0,0.529,2069.5,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,2,1,0,6,0,1,0,1,0,0,180,0,193.0,0.529,2069.4,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,60,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.53,2067.58,OK,-DSTAGGER_CYCLES=60
4,4,2,0,32,200,2,1,1,4,0,0,1,0,0,0,209,0,193.0,0.53,2067.3,OK,-DSTAGGER_CYCLES=200
4,4,2,0,32,120,4,1,0,4,4,0,1,0,0,0,255,0,193.0,0.53,2064.77,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,0,6,0,0,1,0,0,0,222,0,193.0,0.53,2067.51,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,4,1,0,6,4,0,1,0,0,0,222,0,193.0,0.53,2065.14,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,0,6,4,3,1,0,0,0,222,0,193.0,0.53,2065.52,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,0,8,4,1,1,0,0,0,165,0,193.0,0.53,2067.96,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,4,4,0,1,0,0,0,209,0,193.0,0.53,2067.15,OK,-DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,2,1,1,4,0,1,1,0,0,0,165,0,193.0,0.53,2067.95,OK,-DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,4,1,1,4,0,3,1,0,0,0,255,0,193.0,0.53,2065.02,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,4,1,1,6,4,0,1,0,0,0,222,0,193.0,0.53,2064.62,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,6,4,1,1,0,0,0,214,0,193.0,0.53,2067.02,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
