n	k	n_stages	k_iters	n_tiles	tiles_per_cluster	kn_ratio	prefill	floor_ms	ms	tflops	eff	cublas_ms	cublas_cyc	dms	dpct	cb_g_tile	cb_g_stages	cb_g_cluster	cb_g_splitk	cublas_none_ms	cublas_none_cyc	dn_ms	dn_pct	cb_n_tile	cb_n_stages	cb_n_cluster	cb_n_splitk	valid	status
1024	512	3	4	4	196	0.5000	off	0.1989	0.712	1366.93	0.2794	0.8049	1485847	-0.0929	-11.5418	23	36	6	1	0.4079	753682	0.3041	74.5526	23	36	3	1	1	ok
1024	768	5	6	4	196	0.7500	off	0.2984	0.67	2179.94	0.4453	0.813	1500486	-0.1430	-17.5892	23	36	6	1	0.4665	861683	0.2035	43.6227	23	36	3	1	1	ok
1024	1024	5	8	4	196	1.0000	off	0.3978	0.697	2789.38	0.5708	0.8298	1531167	-0.1328	-16.0039	23	36	6	1	0.5476	1011143	0.1494	27.2827	23	36	3	1	1	ok
1024	1536	5	12	4	196	1.5000	off	0.5968	0.896	3257.21	0.6660	0.8481	1565154	0.0479	5.6479	23	36	6	1	0.7335	1354120	0.1625	22.1541	23	36	3	1	1	ok
2048	512	3	4	8	392	0.2500	off	0.3978	1.414	1376.94	0.2814	1.5991	2950229	-0.1851	-11.5753	23	36	6	1	0.8083	1492192	0.6057	74.9350	23	36	3	1	1	ok
2048	768	5	6	8	392	0.3750	off	0.5968	1.33	2195.76	0.4487	1.6126	2975399	-0.2826	-17.5245	23	36	6	1	0.9267	1710621	0.4033	43.5200	23	36	3	1	1	ok
2048	1024	5	8	8	392	0.5000	off	0.7957	1.386	2808.44	0.5741	1.6474	3039556	-0.2614	-15.8674	23	36	6	1	1.0647	1965308	0.3213	30.1775	23	36	3	1	1	ok
2048	1536	5	12	8	392	0.7500	off	1.1935	1.705	3425.97	0.7000	1.6805	3100917	0.0245	1.4579	23	36	6	1	1.3685	2525687	0.3365	24.5890	23	36	3	1	1	ok
3072	512	3	4	12	588	0.1667	off	0.5968	2.121	1375.83	0.2814	2.3943	4416244	-0.2733	-11.4146	23	36	10	1	1.2097	2232622	0.9113	75.3327	23	36	3	1	1	ok
3072	768	5	6	12	588	0.2500	off	0.8951	2.026	2162.11	0.4418	2.4135	4452220	-0.3875	-16.0555	23	36	6	1	1.3642	2517855	0.6618	48.5119	23	36	3	1	1	ok
3072	1024	5	8	12	588	0.3333	off	1.1935	2.081	2805.59	0.5735	2.4649	4546702	-0.3839	-15.5747	23	36	6	1	1.5997	2952104	0.4813	30.0869	23	36	3	1	1	ok
3072	1536	5	12	12	588	0.5000	off	1.7903	2.531	3459.48	0.7073	2.5118	4634611	0.0192	0.7644	23	36	6	1	2.052	3786675	0.4790	23.3431	23	36	3	1	1	ok
4096	512	3	4	16	784	0.1250	off	0.7957	2.808	1385.52	0.2834	3.1902	5884532	-0.3822	-11.9804	23	36	6	1	1.61	2971162	1.1980	74.4099	23	36	3	1	1	ok
4096	768	5	6	16	784	0.1875	off	1.1935	2.649	2204.32	0.4506	3.2137	5927606	-0.5647	-17.5716	23	36	6	1	1.8253	3368160	0.8237	45.1268	23	36	3	1	1	ok
4096	1024	5	8	16	784	0.2500	off	1.5914	2.769	2811.79	0.5747	3.2821	6054686	-0.5131	-15.6333	23	36	6	1	2.1331	3935394	0.6359	29.8111	23	36	3	1	1	ok
4096	1536	5	12	16	784	0.3750	off	2.3870	3.284	3556.67	0.7269	3.3433	6168099	-0.0593	-1.7737	23	36	9	1	2.772	5114643	0.5120	18.4704	23	36	3	1	1	ok
