N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,1,32,160,2,1,1,211,0,192.125,0.519,2108.24,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,120,2,1,1,211,0,192.125,0.52,2104.01,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,2,1,1,209,0,192.125,0.522,2095.83,OK,-DSTAGGER_CYCLES=120
4,4,2,1,32,100,2,1,1,211,0,192.125,0.522,2098.34,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,2,1,32,80,2,1,1,211,0,192.125,0.523,2091.87,OK,-DMBAR_EARLY=1
4,4,2,1,32,160,2,1,1,211,0,192.125,0.523,2094.55,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,0,32,80,2,1,1,209,0,192.125,0.524,2089.25,OK,
4,4,2,0,32,60,2,1,1,209,0,192.125,0.524,2091.04,OK,-DSTAGGER_CYCLES=60
4,4,2,0,32,100,2,1,1,209,0,192.125,0.524,2089.51,OK,-DSTAGGER_CYCLES=100
4,4,2,0,32,160,2,1,1,209,0,192.125,0.524,2088.54,OK,-DSTAGGER_CYCLES=160
4,4,2,1,32,40,2,1,1,211,0,192.125,0.524,2090.96,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,2,1,32,60,2,1,1,211,0,192.125,0.524,2089.25,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,2,1,32,160,2,1,0,211,0,192.125,0.524,2090.64,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,5,2,0,32,80,2,1,1,225,0,208.125,0.525,2086.37,OK,-DNUM_EPI_WARPS=5
4,4,1,1,64,60,2,1,1,239,0,192.125,0.525,2085.83,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
4,4,1,1,64,100,2,1,1,239,0,192.125,0.525,2084.94,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
4,4,2,0,32,40,2,1,1,209,0,192.125,0.525,2083.98,OK,-DSTAGGER_CYCLES=40
4,4,2,0,32,80,2,1,1,209,0,192.125,0.525,2086.93,OK,
4,4,2,1,32,200,2,1,1,211,0,192.125,0.525,2084.75,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,1,32,0,2,1,1,209,0,192.125,0.526,2080.47,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=0
4,4,2,1,32,160,4,1,0,255,0,192.125,0.526,2083.22,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160
4,4,1,0,64,120,2,1,1,221,0,192.125,0.527,2077.34,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
4,4,1,1,64,0,2,1,1,237,0,192.125,0.527,2078.41,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
4,4,2,0,32,200,2,1,1,209,0,192.125,0.527,2078.88,OK,-DSTAGGER_CYCLES=200
4,4,2,1,64,200,2,1,1,255,0,192.125,0.527,2078.2,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
4,4,1,0,64,40,2,1,1,221,0,192.125,0.528,2072.37,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
4,4,1,0,64,100,2,1,1,221,0,192.125,0.528,2072.25,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
4,4,1,1,32,40,2,1,1,208,0,192.125,0.528,2073.0,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,1,1,32,100,2,1,1,208,0,192.125,0.528,2073.05,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,2,0,64,120,2,1,1,255,0,192.125,0.528,2075.47,OK,-DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
4,4,2,0,64,200,2,1,1,255,0,192.125,0.528,2073.52,OK,-DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
4,4,2,1,64,100,2,1,1,255,0,192.125,0.528,2072.34,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
4,4,2,1,64,160,2,1,1,255,0,192.125,0.528,2075.31,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
4,4,2,1,32,160,4,1,1,255,0,192.125,0.528,2074.24,OK,-DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160
4,4,1,0,32,40,2,1,1,206,0,192.125,0.529,2070.05,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40
4,4,1,0,64,80,2,1,1,221,0,192.125,0.529,2068.38,OK,-DINTERLEAVE_STRATEGY=1 -DTMEM_LOAD_WIDTH=64
4,4,1,0,32,160,2,1,1,206,0,192.125,0.529,2070.87,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160
4,4,1,0,64,200,2,1,1,221,0,192.125,0.529,2068.33,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
4,4,1,1,32,80,2,1,1,208,0,192.125,0.529,2070.91,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1
4,4,2,0,32,0,2,1,1,207,0,192.125,0.529,2068.65,OK,-DSTAGGER_CYCLES=0
4,4,2,0,64,60,2,1,1,255,0,192.125,0.529,2068.06,OK,-DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
4,4,2,0,64,80,2,1,1,255,0,192.125,0.529,2071.81,OK,-DTMEM_LOAD_WIDTH=64
4,4,2,0,64,100,2,1,1,255,0,192.125,0.529,2068.36,OK,-DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
4,4,2,0,64,160,2,1,1,255,0,192.125,0.529,2071.51,OK,-DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
4,4,2,1,64,80,2,1,1,255,0,192.125,0.53,2064.56,OK,-DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64
4,4,2,1,64,120,2,1,1,255,0,192.125,0.53,2064.88,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
4,4,1,0,32,0,2,1,1,205,0,192.125,0.531,2063.51,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=0
4,4,1,0,32,100,2,1,1,206,0,192.125,0.531,2062.67,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100
4,4,2,1,64,40,2,1,1,255,0,192.125,0.531,2060.53,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
4,4,2,1,64,60,2,1,1,255,0,192.125,0.531,2061.71,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
4,4,1,1,32,0,2,1,1,206,0,192.125,0.532,2057.51,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0
4,4,1,1,32,200,2,1,1,208,0,192.125,0.532,2058.72,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,0,64,40,2,1,1,255,0,192.125,0.532,2059.63,OK,-DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,2,0,32,80,2,1,1,229,0,224.125,0.537,2038.89,OK,-DN_STAGES=5
4,4,2,1,64,0,2,1,1,255,0,192.125,0.537,2039.14,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
4,4,2,0,64,0,2,1,1,255,0,192.125,0.54,2026.02,OK,-DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
4,4,3,0,32,60,2,1,1,209,0,192.125,0.54,2026.29,OK,-DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=60
4,4,3,0,32,120,2,1,1,209,0,192.125,0.54,2026.05,OK,-DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=120
4,4,3,0,32,100,2,1,1,209,0,192.125,0.541,2025.87,OK,-DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=100
4,4,3,0,32,80,2,1,1,209,0,192.125,0.542,2020.43,OK,-DINTERLEAVE_STRATEGY=3
4,4,3,1,32,120,2,1,1,210,0,192.125,0.542,2019.08,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,3,1,32,200,2,1,1,210,0,192.125,0.542,2018.58,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,1,32,160,4,0,0,255,0,192.125,0.542,2020.74,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=160
4,4,3,1,32,80,2,1,1,210,0,192.125,0.543,2017.44,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1
4,4,2,1,32,160,4,0,1,255,0,192.125,0.543,2015.96,OK,-DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=160
4,4,3,0,32,40,2,1,1,209,0,192.125,0.544,2013.25,OK,-DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=40
4,4,3,0,32,200,2,1,1,209,0,192.125,0.544,2013.82,OK,-DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=200
4,4,3,1,32,60,2,1,1,210,0,192.125,0.544,2014.32,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,3,1,32,100,2,1,1,210,0,192.125,0.544,2011.85,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,3,0,32,160,2,1,1,209,0,192.125,0.545,2009.57,OK,-DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=160
