
=== WALL TIME ===
label                                             ms    tflops  valid  regs  bars
fc2_dg20_p_fused                               1.083   4044.56      0   117     2
fc2_dg20_p_gemm                                1.050   4171.32      1   161     2
fc2_dg20_p_strip                               0.987   4437.95      0    96     0
fc2_dg24_p_fused                               1.067   4106.14      0   117     2
fc2_dg24_p_gemm                                1.053   4161.39      1   161     2
fc2_dg24_p_strip                               0.987   4438.21      0    96     0
fc2_dg2_p_fused                                1.070   4095.32      1   117     2
fc2_dg2_p_gemm                                 1.058   4139.67      1   161     2
fc2_dg2_p_strip                                0.986   4444.08      0    96     0
fc2_dg32_p_fused                               1.119   3914.17      1   117     2
fc2_dg32_p_gemm                                1.076   4072.12      1   161     2
fc2_dg32_p_strip                               0.987   4437.57      0    96     0
fc2_dg3_p_fused                                1.069   4096.14      1   117     2
fc2_dg3_p_gemm                                 1.059   4134.39      1   161     2
fc2_dg3_p_strip                                0.986   4441.66      0    96     0
fc2_dg4_p_fused                                1.066   4109.01      1   117     2
fc2_dg4_p_gemm                                 1.054   4156.50      1   161     2
fc2_dg4_p_strip                                0.986   4441.49      0    96     0
fc2_dg6_p_fused                                1.065   4112.05      1   117     2
fc2_dg6_p_gemm                                 1.053   4159.08      1   161     2
fc2_dg6_p_strip                                0.986   4441.89      0    96     0
fc2_dgsnake_p_fused                            1.065   4114.64      1   117     2
fc2_dgsnake_p_gemm                             1.049   4175.94      1   158     2
fc2_dgsnake_p_strip                            0.987   4439.54      0    96     0
fc2_dgswizzle_p_fused                          1.065   4113.46      1   117     2
fc2_dgswizzle_p_gemm                           1.051   4168.70      1   161     2
fc2_dgswizzle_p_strip                          0.987   4439.69      0    96     0
fc2_hilbert_p_fused                            1.084   4041.28      1   117     2
fc2_hilbert_p_gemm                             1.069   4095.66      1   158     2
fc2_hilbert_p_strip                            0.988   4434.09      0    96     0
fc2_kstagger2_p_fused                          1.071   4087.93      1   150     2
fc2_kstagger2_p_gemm                           1.058   4140.04      1   186     2
fc2_kstagger2_p_strip                          1.029   4257.02      0   127     0
fc2_kstagger3_p_fused                          1.068   4100.53      1   148     2
fc2_kstagger3_p_gemm                           1.055   4152.88      1   187     2
fc2_kstagger3_p_strip                          1.029   4255.73      0   128     0
fc2_kstagger_p_fused                           1.071   4091.00      1   148     2
fc2_kstagger_p_gemm                            1.065   4114.20      1   187     2
fc2_kstagger_p_strip                           1.028   4260.22      0   128     0
fc2_ncycle_p_fused                             1.226   3571.29      1   117     2
fc2_ncycle_p_gemm                              1.198   3656.68      1   160     2
fc2_ncycle_p_strip                             1.026   4268.13      0    96     0
fc2_nflat_p_fused                              1.206   3631.89      1   117     2
fc2_nflat_p_gemm                               1.168   3748.59      1   159     2
fc2_nflat_p_strip                              1.025   4273.32      0    96     0
fc2_nlock_p_fused                              1.096   3995.25      1   118     2
fc2_nlock_p_gemm                               1.091   4012.99      1   159     2
fc2_nlock_p_strip                              1.001   4376.21      0    96     0
fc2_nsnake_p_fused                             1.228   3567.66      1   117     2
fc2_nsnake_p_gemm                              1.198   3655.45      1   158     2
fc2_nsnake_p_strip                             1.026   4268.20      0    96     0
fc2_rowmajor_p_fused                           1.071   4091.47      1   117     2
fc2_rowmajor_p_gemm                            1.071   4089.00      1   158     2
fc2_rowmajor_p_strip                           0.985   4444.76      0    96     0
fc2_zigzag_p_fused                             1.071   4090.51      1   117     2
fc2_zigzag_p_gemm                              1.072   4086.42      1   158     2
fc2_zigzag_p_strip                             0.985   4446.16      0    96     0
fc2_zorder_p_fused                             1.092   4011.82      1   117     2
fc2_zorder_p_gemm                              1.083   4043.92      1   158     2
fc2_zorder_p_strip                             0.988   4433.99      0    96     0

=== DECOMPOSITION (ms) ===
layer  dispatch      pk     fused      gemm     strip       f-g       g-s
-------------------------------------------------------------------------
fc1   checkered     p      2.314     1.615     1.388     0.699     0.227
fc1   ck11          p      2.166     1.664     1.381     0.502     0.283
fc1   ck2           p      2.307     1.615     1.388     0.692     0.227
fc1   ck3           p      2.307     1.616     1.388     0.691     0.228
fc1   ck4           p      2.293     1.615     1.387     0.678     0.228
fc1   ck5           p      2.315     1.614     1.388     0.701     0.226
fc1   ck6           p      2.167     1.666     1.381     0.501     0.285
fc1   ck7           p      2.166     1.666     1.381     0.500     0.285
fc1   ck8           p      2.161     1.665     1.381     0.496     0.284
fc1   default       p      2.092     1.870     1.378     0.222     0.492
fc1   dg10          p      2.086     1.640     1.363     0.446     0.277
fc1   dg12          p      2.086     1.649     1.374     0.437     0.275
fc1   dg16          p      2.087     1.631     1.362     0.456     0.269
fc1   dg24          p      2.093     1.639     1.369     0.454     0.270
fc1   dg32          p      2.093     1.709     1.363     0.384     0.346
fc1   dg4           p      2.095     1.661     1.395     0.434     0.266
fc1   dg6           p      2.091     1.669     1.366     0.422     0.303
fc1   dgsnake       p      2.085     1.655     1.381     0.430     0.274
fc1   dgswizzle     p      2.096     1.654     1.379     0.442     0.275
fc1   hilbert       p      2.281     1.614     1.379     0.667     0.235
fc1   kstagger      p      2.043     1.708     1.379     0.335     0.329
fc1   ncycle        p      2.035     2.034     1.338     0.001     0.696
fc1   nflat         p      2.038     1.715     1.342     0.323     0.373
fc1   nlock         p      2.248     1.940     1.510     0.308     0.430
fc1   nsnake        p      2.035     2.034     1.339     0.001     0.695
fc1   rowmajor      p      2.033     1.890     1.378     0.143     0.512
fc1   zigzag        p      2.030     1.893     1.380     0.137     0.513
fc1   zorder        p      2.268     1.657     1.378     0.611     0.279
fc2   checkered     p      1.064     1.043     0.987     0.021     0.056
fc2   ck2           p      1.064     1.043     0.987     0.021     0.056
fc2   default       p      1.070     1.073     1.029    -0.003     0.044
fc2   dg10          p      1.068     1.050     0.987     0.018     0.063
fc2   dg12          p      1.066     1.052     0.987     0.014     0.065
fc2   dg16          p      1.063     1.046     0.987     0.017     0.059
fc2   dg2           p      1.070     1.058     0.986     0.012     0.072
fc2   dg20          p      1.083     1.050     0.987     0.033     0.063
fc2   dg24          p      1.067     1.053     0.987     0.014     0.066
fc2   dg3           p      1.069     1.059     0.986     0.010     0.073
fc2   dg32          p      1.119     1.076     0.987     0.043     0.089
fc2   dg4           p      1.066     1.054     0.986     0.012     0.068
fc2   dg6           p      1.065     1.053     0.986     0.012     0.067
fc2   dgsnake       p      1.065     1.049     0.987     0.016     0.062
fc2   dgswizzle     p      1.065     1.051     0.987     0.014     0.064
fc2   hilbert       p      1.084     1.069     0.988     0.015     0.081
fc2   kstagger      p      1.071     1.065     1.028     0.006     0.037
fc2   kstagger2     p      1.071     1.058     1.029     0.013     0.029
fc2   kstagger3     p      1.068     1.055     1.029     0.013     0.026
fc2   ncycle        p      1.226     1.198     1.026     0.028     0.172
fc2   nflat         p      1.206     1.168     1.025     0.038     0.143
fc2   nlock         p      1.096     1.091     1.001     0.005     0.090
fc2   nsnake        p      1.228     1.198     1.026     0.030     0.172
fc2   rowmajor      p      1.071     1.071     0.985     0.000     0.086
fc2   zigzag        p      1.071     1.072     0.985    -0.001     0.087
fc2   zorder        p      1.092     1.083     0.988     0.009     0.095

=== DRAM AMPLIFICATION ===
label                                         read_GB   read_amp   write_GB  write_amp
--------------------------------------------------------------------------------------
fc1_default_p_fused                             2.310      3.23x      5.650      0.99x
fc1_default_p_gemm                              1.820      2.54x      5.650      0.99x
fc1_default_p_strip                             0.899      1.26x      0.003          ?
fc1_dgswizzle_p_fused                           1.280      1.79x      5.650      0.99x
fc1_dgswizzle_p_gemm                            0.842      1.18x      5.650      0.99x
fc1_dgswizzle_p_strip                           0.715      1.00x      0.003          ?
fc1_zorder_p_fused                              1.100      1.54x      5.650      0.99x
fc1_zorder_p_gemm                               0.715      1.00x      5.640      0.99x
fc1_zorder_p_strip                              0.716      1.00x      0.003          ?
fc1_hilbert_p_fused                             1.090      1.52x      5.650      0.99x
fc1_hilbert_p_gemm                              0.716      1.00x      5.640      0.99x
fc1_hilbert_p_strip                             0.715      1.00x      0.004          ?
fc1_zigzag_p_fused                              1.130      1.58x      5.650      0.99x
fc1_zigzag_p_gemm                               0.715      1.00x      5.640      0.99x
fc1_zigzag_p_strip                              0.716      1.00x      0.003          ?
fc1_rowmajor_p_fused                            1.140      1.59x      5.650      0.99x
fc1_rowmajor_p_gemm                             0.715      1.00x      5.640      0.99x
