layer,approach,run,ms
patch_embed,our_kernel,0,0.527
patch_embed,our_kernel,1,0.527
patch_embed,our_kernel,2,0.527
patch_embed,our_kernel,3,0.527
patch_embed,our_kernel,4,0.526
patch_embed,our_kernel,5,0.526
patch_embed,our_kernel,6,0.527
patch_embed,our_kernel,7,0.526
patch_embed,our_kernel,8,0.525
patch_embed,our_kernel,9,0.526
patch_embed,our_kernel,10,0.525
patch_embed,our_kernel,11,0.525
patch_embed,our_kernel,12,0.526
patch_embed,our_kernel,13,0.527
patch_embed,our_kernel,14,0.527
patch_embed,our_kernel,15,0.524
patch_embed,our_kernel,16,0.526
patch_embed,our_kernel,17,0.525
patch_embed,our_kernel,18,0.523
patch_embed,our_kernel,19,0.526
patch_embed,cublas_mxfp8,0,0.574
patch_embed,cublas_mxfp8,1,0.574
patch_embed,cublas_mxfp8,2,0.574
patch_embed,cublas_mxfp8,3,0.574
patch_embed,cublas_mxfp8,4,0.574
patch_embed,cublas_mxfp8,5,0.574
patch_embed,cublas_mxfp8,6,0.574
patch_embed,cublas_mxfp8,7,0.574
patch_embed,cublas_mxfp8,8,0.574
patch_embed,cublas_mxfp8,9,0.574
patch_embed,cublas_mxfp8,10,0.574
patch_embed,cublas_mxfp8,11,0.574
patch_embed,cublas_mxfp8,12,0.574
patch_embed,cublas_mxfp8,13,0.574
patch_embed,cublas_mxfp8,14,0.574
patch_embed,cublas_mxfp8,15,0.574
patch_embed,cublas_mxfp8,16,0.574
patch_embed,cublas_mxfp8,17,0.574
patch_embed,cublas_mxfp8,18,0.574
patch_embed,cublas_mxfp8,19,0.574
patch_embed,cublas_per_tensor,0,0.559
patch_embed,cublas_per_tensor,1,0.559
patch_embed,cublas_per_tensor,2,0.559
patch_embed,cublas_per_tensor,3,0.559
patch_embed,cublas_per_tensor,4,0.559
patch_embed,cublas_per_tensor,5,0.559
patch_embed,cublas_per_tensor,6,0.559
patch_embed,cublas_per_tensor,7,0.558
patch_embed,cublas_per_tensor,8,0.559
patch_embed,cublas_per_tensor,9,0.558
patch_embed,cublas_per_tensor,10,0.559
patch_embed,cublas_per_tensor,11,0.559
patch_embed,cublas_per_tensor,12,0.559
patch_embed,cublas_per_tensor,13,0.559
patch_embed,cublas_per_tensor,14,0.559
patch_embed,cublas_per_tensor,15,0.559
patch_embed,cublas_per_tensor,16,0.558
patch_embed,cublas_per_tensor,17,0.559
patch_embed,cublas_per_tensor,18,0.559
patch_embed,cublas_per_tensor,19,0.559
patch_embed,cublas_gemm,0,0.365
patch_embed,cublas_gemm,1,0.365
patch_embed,cublas_gemm,2,0.365
patch_embed,cublas_gemm,3,0.365
patch_embed,cublas_gemm,4,0.365
patch_embed,cublas_gemm,5,0.365
patch_embed,cublas_gemm,6,0.365
patch_embed,cublas_gemm,7,0.365
patch_embed,cublas_gemm,8,0.365
patch_embed,cublas_gemm,9,0.365
patch_embed,cublas_gemm,10,0.365
patch_embed,cublas_gemm,11,0.365
patch_embed,cublas_gemm,12,0.365
patch_embed,cublas_gemm,13,0.365
patch_embed,cublas_gemm,14,0.365
patch_embed,cublas_gemm,15,0.365
patch_embed,cublas_gemm,16,0.365
patch_embed,cublas_gemm,17,0.365
patch_embed,cublas_gemm,18,0.365
patch_embed,cublas_gemm,19,0.365
fc1,our_kernel,0,4.219
fc1,our_kernel,1,4.219
fc1,our_kernel,2,4.22
fc1,our_kernel,3,4.221
fc1,our_kernel,4,4.219
fc1,our_kernel,5,4.22
fc1,our_kernel,6,4.22
fc1,our_kernel,7,4.221
fc1,our_kernel,8,4.22
fc1,our_kernel,9,4.22
fc1,our_kernel,10,4.22
fc1,our_kernel,11,4.218
fc1,our_kernel,12,4.219
fc1,our_kernel,13,4.222
fc1,our_kernel,14,4.224
fc1,our_kernel,15,4.221
fc1,our_kernel,16,4.221
fc1,our_kernel,17,4.221
fc1,our_kernel,18,4.221
fc1,our_kernel,19,4.22
fc1,cublas_mxfp8,0,4.381
fc1,cublas_mxfp8,1,4.381
fc1,cublas_mxfp8,2,4.381
fc1,cublas_mxfp8,3,4.38
fc1,cublas_mxfp8,4,4.379
fc1,cublas_mxfp8,5,4.38
fc1,cublas_mxfp8,6,4.38
fc1,cublas_mxfp8,7,4.381
fc1,cublas_mxfp8,8,4.381
fc1,cublas_mxfp8,9,4.381
fc1,cublas_mxfp8,10,4.381
fc1,cublas_mxfp8,11,4.381
fc1,cublas_mxfp8,12,4.381
fc1,cublas_mxfp8,13,4.381
fc1,cublas_mxfp8,14,4.381
fc1,cublas_mxfp8,15,4.381
fc1,cublas_mxfp8,16,4.381
fc1,cublas_mxfp8,17,4.381
fc1,cublas_mxfp8,18,4.381
fc1,cublas_mxfp8,19,4.381
fc1,cublas_per_tensor,0,4.318
fc1,cublas_per_tensor,1,4.317
fc1,cublas_per_tensor,2,4.317
fc1,cublas_per_tensor,3,4.317
fc1,cublas_per_tensor,4,4.316
fc1,cublas_per_tensor,5,4.317
fc1,cublas_per_tensor,6,4.317
fc1,cublas_per_tensor,7,4.317
