N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,40,2,1,1,4,0,0,209,0,192.125,0.528,2075.29,OK,-DSTAGGER_CYCLES=40
4,4,2,0,32,80,2,1,1,4,0,0,209,0,192.125,0.528,2073.83,OK,
4,4,2,1,32,160,2,1,1,4,0,0,210,0,192.125,0.528,2075.23,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,0,32,100,2,1,0,4,4,0,209,0,192.125,0.528,2073.68,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,0,4,0,3,209,0,192.125,0.528,2074.77,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,2,1,0,6,4,0,173,0,192.125,0.528,2072.99,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,0,6,0,1,165,0,192.125,0.528,2075.25,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,2,1,0,6,4,1,165,0,192.125,0.528,2074.65,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,0,8,0,1,165,0,192.125,0.528,2074.62,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
4,4,2,0,32,100,2,1,1,6,0,3,173,0,192.125,0.528,2075.41,OK,-DK_LOOP_UNROLL=6 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
4,4,2,0,32,100,2,1,1,8,4,1,165,0,192.125,0.528,2074.17,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,1,8,4,3,209,0,192.125,0.528,2073.77,OK,-DK_LOOP_UNROLL=8 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,1,32,100,2,1,1,4,0,0,210,0,192.125,0.529,2069.5,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,2,1,32,200,2,1,1,4,0,0,210,0,192.125,0.529,2070.6,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,0,32,100,2,1,0,4,4,3,209,0,192.125,0.529,2069.64,OK,-DCVT_ADD_FUSED=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
