N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,2,1,64,120,2,1,1,4,0,0,255,0,224.125,1.51,2900.16,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
5,4,2,1,64,200,2,1,1,4,0,0,255,0,224.125,1.51,2900.04,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
5,4,2,1,64,120,2,1,1,4,0,3,255,0,224.125,1.511,2898.03,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DTMEM_LOAD_WIDTH=64
5,4,2,1,64,120,4,1,1,4,0,3,255,0,224.125,1.511,2899.7,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,100,2,1,1,4,0,0,255,0,224.125,1.512,2896.04,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,2,1,64,160,2,1,1,4,0,0,255,0,224.125,1.512,2896.82,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
5,4,2,1,64,120,2,1,0,4,0,0,255,0,224.125,1.512,2896.86,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
5,4,2,0,32,200,2,1,1,4,0,0,255,0,224.125,1.513,2895.27,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,2,1,64,40,2,1,1,4,0,0,255,0,224.125,1.513,2895.05,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,2,1,64,80,2,1,1,4,0,0,255,0,224.125,1.513,2895.01,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,200,2,1,1,4,0,0,255,0,224.125,1.513,2895.25,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200
