Kernel: patch_embed (patch_embed.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 5 valid, 1 pruned
Estimated time: ~0 min (5 configs × ~5s each)

[35/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40 ... 0.534 ms / 2052 TFLOPS  (206 regs, 1.6s)
[36/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[37/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60 ... 0.533 ms / 2056 TFLOPS  (206 regs, 1.6s)
[38/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[39/128] -DINTERLEAVE_STRATEGY=1 ... 0.534 ms / 2050 TFLOPS  (206 regs, 1.6s)
[40/128] -DINTERLEAVE_STRATEGY=1 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[41/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 ... 0.533 ms / 2056 TFLOPS  (206 regs, 1.6s)
[42/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[43/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 ... 0.532 ms / 2058 TFLOPS  (206 regs, 1.6s)
[44/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[45/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160 ... 0.535 ms / 2047 TFLOPS  (206 regs, 1.6s)
[46/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[47/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 ... 0.534 ms / 2051 TFLOPS  (206 regs, 1.6s)
[48/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[49/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 0.536 ms / 2044 TFLOPS  (206 regs, 1.6s)
[50/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[51/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 0.533 ms / 2055 TFLOPS  (208 regs, 1.6s)
[52/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
