M	N	K	EPI	rank	status	ms	cyc	algoId	tile	stages	cluster	inner	splitk	swizzle	waves	ws_MB	tile_name
928256	256	8192	0	2	OK	1.4502	2676951	66	24	36	6	-1	1	0	49.00	0.0	256x128
928256	256	8192	0	3	OK	1.4601	2693557	66	264	36	5	-1	1	0	32.68	0.0	id=264
928256	512	1024	0	1	OK	0.3287	607256	66	23	36	3	-1	1	0	98.00	0.0	128x256
928256	512	1024	0	2	OK	0.3702	683065	66	513	36	3	-1	1	0	49.00	0.0	id=513
928256	512	1024	0	3	OK	0.3714	685599	66	31	36	3	-1	1	0	130.68	0.0	id=31
928256	512	2048	0	1	OK	0.5392	995510	66	23	36	3	-1	1	0	98.00	0.0	128x256
928256	512	2048	0	2	OK	0.5433	1002935	66	201	36	5	-1	1	0	142.57	0.0	176x128
928256	512	2048	0	3	OK	0.5837	1076671	66	513	36	3	-1	1	0	49.00	0.0	id=513
928256	512	4096	0	1	OK	0.9512	1755558	66	23	36	3	-1	1	0	98.00	0.0	128x256
928256	512	4096	0	2	OK	0.9542	1760903	66	201	36	5	-1	1	0	142.57	0.0	176x128
928256	512	4096	0	3	OK	1.0253	1891786	66	513	36	3	-1	1	0	49.00	0.0	id=513
928256	512	8192	0	1	OK	1.8673	3445988	66	23	36	3	-1	1	0	98.00	0.0	128x256
928256	512	8192	0	2	OK	1.8845	3477246	66	201	36	5	-1	1	0	142.57	0.0	176x128
928256	512	8192	0	3	OK	1.9275	3556196	66	513	36	3	-1	1	0	49.00	0.0	id=513
928256	1024	1024	0	1	OK	0.5876	1084713	66	23	36	3	-1	1	0	196.00	0.0	128x256
928256	1024	1024	0	2	OK	0.6812	1257360	66	24	36	5	-1	1	0	196.00	0.0	256x128
928256	1024	1024	0	3	OK	0.7001	1290062	66	513	36	3	-1	1	0	98.00	0.0	id=513
928256	1024	2048	0	1	OK	0.9652	1781313	66	201	36	5	-1	1	0	285.14	0.0	176x128
928256	1024	2048	0	2	OK	0.9829	1813957	66	23	36	3	-1	1	0	196.00	0.0	128x256
928256	1024	2048	0	3	OK	1.0634	1962270	66	184	36	5	-1	1	0	348.49	0.0	id=184
928256	1024	4096	0	1	OK	1.7885	3300502	66	201	36	5	-1	1	0	285.14	0.0	176x128
928256	1024	4096	0	2	OK	1.7940	3310612	66	23	36	3	-1	1	0	196.00	0.0	128x256
928256	1024	4096	0	3	OK	1.9519	3601734	66	184	36	5	-1	1	0	348.49	0.0	id=184
928256	1024	8192	0	1	OK	3.5466	6543983	66	23	36	3	-1	1	0	196.00	0.0	128x256
928256	1024	8192	0	2	OK	3.5752	6534852	66	201	36	5	-1	1	0	285.14	0.0	176x128
928256	1024	8192	0	3	OK	3.7511	6921066	66	513	36	3	-1	1	0	98.00	0.0	id=513
928256	2048	2048	0	1	OK	1.8553	3423373	66	23	36	3	-1	1	0	392.00	0.0	128x256
928256	2048	2048	0	2	OK	1.8715	3453432	66	201	36	5	-1	1	0	570.27	0.0	176x128
928256	2048	2048	0	3	OK	1.9779	3649387	66	32	36	3	-1	1	0	539.00	0.0	128x192
928256	2048	4096	0	1	OK	3.5250	6504187	66	201	36	5	-1	1	0	570.27	0.0	176x128
928256	2048	4096	0	2	OK	3.5346	6522134	66	23	36	3	-1	1	0	392.00	0.0	128x256
928256	2048	4096	0	3	OK	3.8051	6900349	66	32	36	3	-1	1	0	539.00	0.0	128x192
928256	2048	8192	0	1	OK	6.9921	12901507	66	23	36	3	-1	1	0	392.00	0.0	128x256
928256	2048	8192	0	2	OK	7.0914	12968745	66	201	36	5	-1	1	0	570.27	0.0	176x128
928256	2048	8192	0	3	OK	7.4918	13824213	66	513	36	3	-1	1	0	196.00	0.0	id=513
