Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,157.3 |       2,891.5 |     34.0% | warp
lts__t_sector_hit_rate.pct                                             |         42.97 |         53.68 |     24.9% | %
dram__sectors_read.sum                                                 |   220,848,824 |   175,340,496 |    -20.6% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      24,644.1 |      20,824.8 |    -15.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       6,588.9 |       7,522.4 |     14.2% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     159,323.9 |     179,288.5 |     12.5% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    26,068,283 |    28,543,605 |      9.5% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    46,666,020 |    50,070,382 |      7.3% | 
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,244,428 |     2,092,496 |     -6.8% | warp
