layer,approach,run,ms
fc1,our_kernel,0,2.281
fc1,our_kernel,1,2.283
fc1,our_kernel,2,2.344
fc1,our_kernel,3,2.275
fc1,our_kernel,4,2.275
fc1,our_kernel,5,2.405
fc1,our_kernel,6,2.249
fc1,our_kernel,7,2.271
fc1,our_kernel,8,2.393
fc1,our_kernel,9,2.311
fc1,cutlass_fused,0,2.318
fc1,cutlass_fused,1,2.319
fc1,cutlass_fused,2,2.319
fc1,cutlass_fused,3,2.319
fc1,cutlass_fused,4,2.32
fc1,cutlass_fused,5,2.323
fc1,cutlass_fused,6,2.319
fc1,cutlass_fused,7,2.319
fc1,cutlass_fused,8,2.323
fc1,cutlass_fused,9,2.324
fc1,cutlass_gemm,0,1.611
fc1,cutlass_gemm,1,1.609
fc1,cutlass_gemm,2,1.61
fc1,cutlass_gemm,3,1.61
fc1,cutlass_gemm,4,1.611
fc1,cutlass_gemm,5,1.613
fc1,cutlass_gemm,6,1.61
fc1,cutlass_gemm,7,1.61
fc1,cutlass_gemm,8,1.612
fc1,cutlass_gemm,9,1.611
