Kernel: fc1_gelu (fc1_gelu.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 ... 3.111 ms / 1408 TFLOPS  (204 regs, 6.9s)
[2/3] (defaults) ... 3.069 ms / 1427 TFLOPS  (242 regs, 5.8s)
[3/3] -DN_STAGES=5 ... 3.042 ms / 1440 TFLOPS  (238 regs, 5.9s)
  η²: N_STAGES=1.000

  Gap: 0.89% → k_eff=2 (from 3)

Tier 1 winner (top-3): -DK_LOOP_UNROLL=5 -DN_STAGES=5 → 3.042 ms / 1440 TFLOPS
  #2: (defaults) → 3.069 ms / 1427 TFLOPS
  #3: -DK_LOOP_UNROLL=3 -DN_STAGES=3 → 3.111 ms / 1408 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/2: -DN_STAGES=5
Sweep: 128 total, 64 valid, 64 pruned
Estimated time: ~5 min (64 configs × ~5s each)

[30/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 ... 2.833 ms / 1546 TFLOPS  (242 regs, 5.8s)
[31/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 ... 2.828 ms / 1549 TFLOPS  (242 regs, 5.9s)
[32/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 ... 2.835 ms / 1545 TFLOPS  (242 regs, 5.9s)
[33/64] -DN_STAGES=5 -DSTAGGER_CYCLES=0 ... 2.978 ms / 1471 TFLOPS  (239 regs, 5.9s)
[34/64] -DN_STAGES=5 -DSTAGGER_CYCLES=40 ... 3.009 ms / 1456 TFLOPS  (238 regs, 6.0s)
[35/64] -DN_STAGES=5 -DSTAGGER_CYCLES=60 ... 3.006 ms / 1457 TFLOPS  (238 regs, 6.0s)
[36/64] -DN_STAGES=5 ... 2.995 ms / 1462 TFLOPS  (238 regs, 5.8s)
[37/64] -DN_STAGES=5 -DSTAGGER_CYCLES=100 ... 2.986 ms / 1467 TFLOPS  (238 regs, 5.9s)
[38/64] -DN_STAGES=5 -DSTAGGER_CYCLES=120 ... 2.989 ms / 1465 TFLOPS  (238 regs, 5.8s)
[39/64] -DN_STAGES=5 -DSTAGGER_CYCLES=160 ... 3.038 ms / 1442 TFLOPS  (238 regs, 5.9s)
