layer,approach,run,ms
patch_embed,our_kernel,0,0.526
patch_embed,our_kernel,1,0.526
patch_embed,our_kernel,2,0.526
patch_embed,our_kernel,3,0.525
patch_embed,our_kernel,4,0.526
patch_embed,our_kernel,5,0.524
patch_embed,our_kernel,6,0.526
patch_embed,our_kernel,7,0.525
patch_embed,our_kernel,8,0.525
patch_embed,our_kernel,9,0.524
fc1,our_kernel,0,2.322
fc1,our_kernel,1,2.367
fc1,our_kernel,2,2.362
fc1,our_kernel,3,2.35
fc1,our_kernel,4,2.256
fc1,our_kernel,5,2.324
fc1,our_kernel,6,2.288
fc1,our_kernel,7,2.322
fc1,our_kernel,8,2.301
fc1,our_kernel,9,2.337
fc2,our_kernel,0,1.47
fc2,our_kernel,1,1.469
fc2,our_kernel,2,1.468
fc2,our_kernel,3,1.468
fc2,our_kernel,4,1.466
fc2,our_kernel,5,1.469
fc2,our_kernel,6,1.468
fc2,our_kernel,7,1.469
fc2,our_kernel,8,1.467
fc2,our_kernel,9,1.468
