Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         594.0 |    23,068,730 | 3883524.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,709.0 |    23,829,041 | 1394226.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      84,084.0 |    47,912,896 |  56882.2% | 
dram__sectors_write.sum                                                |     166,728.0 |    44,207,696 |  26414.9% | sector
lts__t_sectors_op_write.sum                                            |     400,707.0 |    67,240,079 |  16680.4% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |       1,136.4 |      98,012.4 |   8525.0% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         82.29 |       2,186.6 |   2557.2% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         294.5 |       6,935.2 |   2254.7% | warp
smsp__inst_executed.sum                                                |    44,302,354 |    97,514,851 |    120.1% | inst
smsp__warps_issue_stalled_sleeping.avg                                 |       9,903.1 |      18,698.0 |     88.8% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         26.92 |         50.38 |     87.1% | %
dram__sectors_read.sum                                                 |   112,169,040 |   169,611,480 |     51.2% | sector
lts__t_sectors.sum                                                     |   476,200,228 |   658,224,678 |     38.2% | sector
smsp__warps_issue_stalled_wait.avg                                     |     263,584.2 |     363,696.4 |     38.0% | warp
lts__t_sectors_op_read.sum                                             |   475,551,664 |   590,643,608 |     24.2% | sector
launch__registers_per_thread                                           |         96.00 |         119.0 |     24.0% | register/thread
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         53.01 |         65.37 |     23.3% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,617,246 |     1,285,922 |    -20.5% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     223,267.6 |     246,350.0 |     10.3% | warp
