Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |     144,217.1 |     454,876.5 |    215.4% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |      39,129.6 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |     124,124.5 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         433.6 |         23.41 |    -94.6% | warp
smsp__cycles_active.avg                                                |     3,685,099 |     5,899,805 |     60.1% | cycle
dram__sectors_read.sum                                                 |    77,578,608 |    41,455,264 |    -46.6% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         29.48 |         16.40 |    -44.4% | %
smsp__warps_issue_stalled_barrier.avg                                  |     555,310.0 |     756,068.8 |     36.2% | warp
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         42.46 |         27.31 |    -35.7% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         39.35 |         25.39 |    -35.5% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         45.36 |         29.30 |    -35.4% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         46.28 |         30.06 |    -35.0% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,167,703 |     1,513,579 |     29.6% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     393,841.6 |     329,879.3 |    -16.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    28,340,226 |    24,922,122 |    -12.1% | 
smsp__warps_issue_stalled_wait.avg                                     |     1,126,193 |     1,014,885 |     -9.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    78,898,626 |    74,246,811 |     -5.9% | 
lts__t_sectors_op_read.sum                                             |   567,277,954 |   535,302,388 |     -5.6% | sector
