N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,regs,spills,smem_kb,ms,tflops,status,dflags
4,5,1,1,64,80,2,1,1,240,0,208.125,0.525,2084.62,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DTMEM_LOAD_WIDTH=64
4,5,2,0,32,80,2,1,1,225,0,208.125,0.525,2084.39,OK,-DNUM_EPI_WARPS=5
4,5,2,0,32,120,2,1,1,225,0,208.125,0.525,2084.12,OK,-DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=120
4,5,2,1,32,40,2,1,1,225,0,208.125,0.525,2083.9,OK,-DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=40
4,5,2,1,32,60,2,1,1,225,0,208.125,0.525,2087.25,OK,-DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=60
4,5,1,1,64,40,2,1,1,240,0,208.125,0.526,2082.65,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
4,5,2,0,32,0,2,1,1,224,0,208.125,0.526,2080.96,OK,-DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=0
4,5,2,0,32,60,2,1,1,225,0,208.125,0.526,2082.54,OK,-DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=60
4,5,2,0,32,160,2,1,1,225,0,208.125,0.526,2080.79,OK,-DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=160
4,5,2,1,32,80,2,1,1,225,0,208.125,0.526,2080.51,OK,-DMBAR_EARLY=1 -DNUM_EPI_WARPS=5
4,5,1,1,64,80,2,1,1,240,0,208.125,0.526,2080.92,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DTMEM_LOAD_WIDTH=64
4,5,1,1,64,80,4,1,1,235,0,208.125,0.526,2080.98,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DPHASE1_UNROLL=4 -DTMEM_LOAD_WIDTH=64
4,5,2,0,32,80,2,1,1,225,0,208.125,0.527,2076.69,OK,-DNUM_EPI_WARPS=5
4,5,1,1,64,60,2,1,1,240,0,208.125,0.527,2077.12,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
4,5,1,1,64,100,2,1,1,240,0,208.125,0.527,2077.77,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
4,5,1,1,64,200,2,1,1,240,0,208.125,0.527,2079.29,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
4,5,2,0,32,40,2,1,1,225,0,208.125,0.527,2077.56,OK,-DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=40
