layer,approach,run,ms
patch_embed,our_kernel,0,0.528
patch_embed,our_kernel,1,0.528
patch_embed,our_kernel,2,0.527
patch_embed,our_kernel,3,0.527
patch_embed,our_kernel,4,0.527
patch_embed,our_kernel,5,0.527
patch_embed,our_kernel,6,0.526
patch_embed,our_kernel,7,0.528
patch_embed,our_kernel,8,0.527
patch_embed,our_kernel,9,0.527
fc1,our_kernel,0,2.334
fc1,our_kernel,1,2.264
fc1,our_kernel,2,2.297
fc1,our_kernel,3,2.373
fc1,our_kernel,4,2.302
fc1,our_kernel,5,2.317
fc1,our_kernel,6,2.291
fc1,our_kernel,7,2.394
fc1,our_kernel,8,2.272
fc1,our_kernel,9,2.333
fc2,our_kernel,0,1.473
fc2,our_kernel,1,1.472
fc2,our_kernel,2,1.475
fc2,our_kernel,3,1.473
fc2,our_kernel,4,1.476
fc2,our_kernel,5,1.473
fc2,our_kernel,6,1.475
fc2,our_kernel,7,1.473
fc2,our_kernel,8,1.473
fc2,our_kernel,9,1.473
