n	k	n_stages	k_iters	n_tiles	tiles_per_cluster	kn_ratio	prefill	floor_ms	ms	cyc	tflops	eff	cublas_ms	cublas_cyc	dcyc	dpct	cb_b_tile	cb_b_stages	cb_b_cluster	cb_b_splitk	cublas_none_ms	cublas_none_cyc	dn_cyc	dn_pct	cb_n_tile	cb_n_stages	cb_n_cluster	cb_n_splitk	valid	status
256	1024	5	8	1	49	4.0000	off	0.0995	0.2217	398074	2195.45	0.4486	0.2016	372541	25533	6.8537	29	36	3	1	0.2049	378666	19408	5.1254	20	36	3	1	1	ok
256	2048	6	16	1	49	8.0000	off	0.1989	0.3517	634923	2765.84	0.5656	0.3617	668047	-33124	-4.9583	23	36	3	1	0.3626	669568	-34645	-5.1742	23	36	3	1	1	ok
256	4096	6	32	1	49	16.0000	on	0.3978	0.6337	1152657	3071.8	0.6278	0.6395	1180728	-28071	-2.3774	23	36	3	1	0.6391	1179875	-27218	-2.3069	23	36	3	1	1	ok
256	8192	6	64	1	49	32.0000	on	0.7957	1.1772	2151744	3299.5	0.6759	1.3104	2417850	-266106	-11.0059	177	36	3	1	1.3095	2416760	-265016	-10.9658	23	36	3	1	1	ok
512	1024	5	8	2	98	2.0000	off	0.1989	0.3627	661897	2683.32	0.5484	0.335	618783	43114	6.9675	23	36	3	1	0.3149	582022	79875	13.7237	23	36	3	1	1	ok
512	2048	6	16	2	98	4.0000	off	0.3978	0.5212	952502	3734.68	0.7633	0.5194	959143	-6641	-0.6924	23	36	3	1	0.514	949219	3283	0.3459	23	36	3	1	1	ok
512	4096	6	32	2	98	8.0000	on	0.7957	0.9698	1779627	4013.54	0.8205	0.9448	1743945	35682	2.0461	23	36	3	1	0.9404	1736013	43614	2.5123	23	36	3	1	1	ok
512	8192	6	64	2	98	16.0000	on	1.5914	1.839	3384341	4234.15	0.8653	1.937	3574237	-189896	-5.3129	23	36	3	1	1.9201	3542710	-158369	-4.4703	513	36	3	1	1	ok
1024	1024	5	8	4	196	1.0000	off	0.3978	0.7281	1333859	2673.57	0.5464	0.5907	1090604	243255	22.3046	23	36	3	1	0.5479	1011773	322086	31.8338	23	36	3	1	1	ok
1024	2048	6	16	4	196	2.0000	off	0.7957	0.9217	1691218	4221.66	0.8633	0.9369	1729471	-38253	-2.2118	23	36	3	1	0.9308	1719564	-28346	-1.6484	23	36	3	1	1	ok
1024	4096	6	32	4	196	4.0000	on	1.5914	1.8528	3409619	4191.67	0.8589	1.7777	3280525	129094	3.9352	23	36	3	1	1.7759	3277534	132085	4.0300	23	36	3	1	1	ok
1024	8192	6	64	4	196	8.0000	on	3.1827	3.5349	6512002	4403.72	0.9004	3.5735	6593931	-81929	-1.2425	32	36	3	1	3.5665	6580929	-68927	-1.0474	32	36	3	1	1	ok
2048	1024	5	8	8	392	0.5000	off	0.7957	1.4646	2691449	2658.38	0.5433	1.1339	2092874	598575	28.6006	23	36	3	1	1.0642	1964301	727148	37.0182	23	36	3	1	1	ok
2048	2048	5	16	8	392	1.0000	off	1.5914	2.0427	3761111	3811.95	0.7790	1.7898	3302962	458149	13.8709	23	36	3	1	1.7858	3295683	465428	14.1224	23	36	3	1	1	ok
2048	4096	5	32	8	392	2.0000	on	3.1827	3.6574	6738257	4256.04	0.8702	3.5137	6483402	254855	3.9309	23	36	3	1	3.5157	6487058	251199	3.8723	23	36	3	1	1	ok
2048	8192	5	64	8	392	4.0000	on	6.3654	7.0327	12963525	4423.02	0.9051	7.0324	12974866	-11341	-0.0874	23	36	3	1	7.049	13006053	-42528	-0.3270	23	36	3	1	1	ok
