layer,approach,run,ms
patch_embed,our_kernel,0,0.525
patch_embed,our_kernel,1,0.525
patch_embed,our_kernel,2,0.524
patch_embed,our_kernel,3,0.523
patch_embed,our_kernel,4,0.525
patch_embed,our_kernel,5,0.525
patch_embed,our_kernel,6,0.523
patch_embed,our_kernel,7,0.526
patch_embed,our_kernel,8,0.523
patch_embed,our_kernel,9,0.526
patch_embed,our_kernel,10,0.523
patch_embed,our_kernel,11,0.522
patch_embed,our_kernel,12,0.524
patch_embed,our_kernel,13,0.522
patch_embed,our_kernel,14,0.523
patch_embed,our_kernel,15,0.524
patch_embed,our_kernel,16,0.524
patch_embed,our_kernel,17,0.525
patch_embed,our_kernel,18,0.523
patch_embed,our_kernel,19,0.524
patch_embed,cutlass_fused,0,0.536
patch_embed,cutlass_fused,1,0.535
patch_embed,cutlass_fused,2,0.535
patch_embed,cutlass_fused,3,0.535
patch_embed,cutlass_fused,4,0.535
patch_embed,cutlass_fused,5,0.535
patch_embed,cutlass_fused,6,0.536
patch_embed,cutlass_fused,7,0.535
patch_embed,cutlass_fused,8,0.535
patch_embed,cutlass_fused,9,0.535
patch_embed,cutlass_fused,10,0.535
patch_embed,cutlass_fused,11,0.535
patch_embed,cutlass_fused,12,0.535
patch_embed,cutlass_fused,13,0.535
patch_embed,cutlass_fused,14,0.535
patch_embed,cutlass_fused,15,0.535
patch_embed,cutlass_fused,16,0.535
patch_embed,cutlass_fused,17,0.535
patch_embed,cutlass_fused,18,0.535
patch_embed,cutlass_fused,19,0.535
patch_embed,cutlass_gemm,0,0.411
patch_embed,cutlass_gemm,1,0.411
patch_embed,cutlass_gemm,2,0.411
patch_embed,cutlass_gemm,3,0.411
patch_embed,cutlass_gemm,4,0.411
patch_embed,cutlass_gemm,5,0.411
patch_embed,cutlass_gemm,6,0.412
patch_embed,cutlass_gemm,7,0.411
patch_embed,cutlass_gemm,8,0.411
patch_embed,cutlass_gemm,9,0.411
patch_embed,cutlass_gemm,10,0.411
patch_embed,cutlass_gemm,11,0.412
patch_embed,cutlass_gemm,12,0.411
patch_embed,cutlass_gemm,13,0.411
patch_embed,cutlass_gemm,14,0.412
patch_embed,cutlass_gemm,15,0.412
patch_embed,cutlass_gemm,16,0.411
patch_embed,cutlass_gemm,17,0.412
patch_embed,cutlass_gemm,18,0.411
patch_embed,cutlass_gemm,19,0.411
fc1,our_kernel,0,2.465
fc1,our_kernel,1,2.471
fc1,our_kernel,2,2.469
fc1,our_kernel,3,2.472
fc1,our_kernel,4,2.472
fc1,our_kernel,5,2.471
fc1,our_kernel,6,2.471
fc1,our_kernel,7,2.471
fc1,our_kernel,8,2.472
fc1,our_kernel,9,2.472
fc1,our_kernel,10,2.472
fc1,our_kernel,11,2.471
fc1,our_kernel,12,2.472
fc1,our_kernel,13,2.472
fc1,our_kernel,14,2.471
fc1,our_kernel,15,2.471
fc1,our_kernel,16,2.471
fc1,our_kernel,17,2.473
fc1,our_kernel,18,2.471
fc1,our_kernel,19,2.471
fc1,cutlass_fused,0,2.323
fc1,cutlass_fused,1,2.32
fc1,cutlass_fused,2,2.32
fc1,cutlass_fused,3,2.32
fc1,cutlass_fused,4,2.32
fc1,cutlass_fused,5,2.32
fc1,cutlass_fused,6,2.32
fc1,cutlass_fused,7,2.32
fc1,cutlass_fused,8,2.32
fc1,cutlass_fused,9,2.32
fc1,cutlass_fused,10,2.32
fc1,cutlass_fused,11,2.32
fc1,cutlass_fused,12,2.32
fc1,cutlass_fused,13,2.32
fc1,cutlass_fused,14,2.32
fc1,cutlass_fused,15,2.32
fc1,cutlass_fused,16,2.32
fc1,cutlass_fused,17,2.32
fc1,cutlass_fused,18,2.32
fc1,cutlass_fused,19,2.32
fc1,cutlass_gemm,0,1.612
fc1,cutlass_gemm,1,1.61
fc1,cutlass_gemm,2,1.611
fc1,cutlass_gemm,3,1.611
fc1,cutlass_gemm,4,1.61
fc1,cutlass_gemm,5,1.61
fc1,cutlass_gemm,6,1.611
fc1,cutlass_gemm,7,1.611
fc1,cutlass_gemm,8,1.611
fc1,cutlass_gemm,9,1.611
fc1,cutlass_gemm,10,1.611
fc1,cutlass_gemm,11,1.61
fc1,cutlass_gemm,12,1.61
fc1,cutlass_gemm,13,1.609
fc1,cutlass_gemm,14,1.61
fc1,cutlass_gemm,15,1.611
fc1,cutlass_gemm,16,1.611
fc1,cutlass_gemm,17,1.61
fc1,cutlass_gemm,18,1.611
fc1,cutlass_gemm,19,1.61
fc2,our_kernel,0,1.512
fc2,our_kernel,1,1.514
fc2,our_kernel,2,1.514
fc2,our_kernel,3,1.514
fc2,our_kernel,4,1.515
fc2,our_kernel,5,1.513
fc2,our_kernel,6,1.514
fc2,our_kernel,7,1.513
fc2,our_kernel,8,1.513
fc2,our_kernel,9,1.514
fc2,our_kernel,10,1.514
fc2,our_kernel,11,1.516
