Kernel: fc1_gelu (fc1_gelu.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 5 valid, 1 pruned
Estimated time: ~0 min (5 configs × ~5s each)

[1/5] -DN_STAGES=3 ... 3.137 ms / 1396 TFLOPS  (205 regs, 5.6s)
[2/5] (defaults) ... 3.080 ms / 1422 TFLOPS  (243 regs, 5.6s)
[3/5] -DN_STAGES=5 ... 2.995 ms / 1463 TFLOPS  (240 regs, 5.7s)
[4/5] -DNUM_EPI_WARPS=5 -DN_STAGES=3 ... 2.900 ms / 1510 TFLOPS  (207 regs, 5.8s)
[5/5] -DNUM_EPI_WARPS=5 ... 2.676 ms / 1637 TFLOPS  (240 regs, 5.8s)

Tier 1 winner: -DNUM_EPI_WARPS=5 → 2.676 ms / 1637 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
Sweep: 128 total, 128 valid, 0 pruned
Estimated time: ~11 min (128 configs × ~5s each)

[1/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=0 ... 2.773 ms / 1579 TFLOPS  (241 regs, 5.9s)
[2/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[3/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=40 ... 2.771 ms / 1581 TFLOPS  (242 regs, 6.0s)
[4/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[5/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=60 ... 2.758 ms / 1588 TFLOPS  (242 regs, 5.9s)
[6/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[7/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 ... 2.757 ms / 1589 TFLOPS  (242 regs, 5.9s)
[8/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[9/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=100 ... 2.760 ms / 1587 TFLOPS  (242 regs, 5.9s)
[10/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[11/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=120 ... 2.738 ms / 1600 TFLOPS  (242 regs, 5.8s)
[12/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[13/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=160 ... 2.731 ms / 1604 TFLOPS  (242 regs, 5.9s)
[14/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[15/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=200 ... 2.732 ms / 1603 TFLOPS  (242 regs, 5.8s)
[16/128] -DINTERLEAVE_STRATEGY=0 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[17/128] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=0 ... 2.765 ms / 1584 TFLOPS  (241 regs, 5.9s)
[18/128] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DNUM_EPI_WARPS=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
