N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,2,1,32,80,2,1,1,4,0,0,1,0,255,0,224.125,1.519,2883.48,OK,-DMBAR_EARLY=1 -DN_STAGES=5
5,4,2,1,32,100,2,1,1,4,0,0,1,0,255,0,224.125,1.519,2883.66,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,2,1,32,200,2,0,1,4,0,3,1,0,255,0,224.125,1.519,2883.82,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=3
5,4,1,0,64,0,2,1,1,4,0,0,1,0,255,0,224.125,1.52,2880.89,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
5,4,1,0,32,200,2,1,1,4,0,0,1,0,255,0,224.125,1.52,2881.99,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,2,0,32,160,2,1,1,4,0,0,1,0,255,0,224.125,1.52,2881.54,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=160
5,4,2,1,64,0,2,1,1,4,0,0,1,0,255,0,224.125,1.52,2881.04,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,200,2,0,0,4,0,0,1,0,255,0,224.125,1.52,2882.01,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,2,0,0,4,0,3,1,0,255,0,224.125,1.52,2882.18,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=3
5,4,1,0,32,0,2,1,1,4,0,0,1,0,255,0,224.125,1.521,2879.64,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0
5,4,2,0,32,80,2,1,1,4,0,0,1,0,255,0,224.125,1.521,2879.15,OK,-DN_STAGES=5
5,4,2,1,32,200,2,0,1,4,0,0,1,0,255,0,224.125,1.521,2879.67,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200
5,4,2,0,32,80,2,1,1,4,0,0,1,0,255,0,224.125,1.522,2877.45,OK,-DN_STAGES=5
5,4,1,1,32,80,2,1,1,4,0,0,1,0,255,0,224.125,1.522,2877.94,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5
5,4,1,1,32,120,2,1,1,4,0,0,1,0,255,0,224.125,1.522,2877.35,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120
