N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,1,32,160,2,1,0,4,0,0,2,1,208,0,192.125,0.52,2103.93,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,4,0,0,1,0,210,0,192.125,0.522,2099.04,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,0,4,0,0,1,0,210,0,192.125,0.522,2096.77,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,0,6,0,0,1,0,175,0,192.125,0.522,2095.78,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,0,6,4,0,1,0,175,0,192.125,0.522,2097.54,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,0,6,0,1,1,0,166,0,192.125,0.522,2096.54,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=1
4,4,2,1,32,160,2,1,0,8,4,3,1,0,211,0,192.125,0.522,2096.82,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,6,0,1,1,0,166,0,192.125,0.522,2095.78,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=1
4,4,2,1,32,160,2,1,1,8,0,3,1,0,211,0,192.125,0.522,2096.69,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3
4,4,2,1,32,160,2,1,0,4,0,0,0,1,208,0,192.125,0.522,2099.67,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DPREFETCH_BEFORE_STORE=1 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,0,4,4,0,1,0,210,0,192.125,0.523,2094.26,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,0,6,4,1,1,0,166,0,192.125,0.523,2092.42,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,0,6,0,3,1,0,175,0,192.125,0.523,2094.06,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3
4,4,2,1,32,160,2,1,0,8,0,0,1,0,211,0,192.125,0.523,2092.77,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,0,8,4,0,1,0,211,0,192.125,0.523,2094.75,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,0,8,0,3,1,0,211,0,192.125,0.523,2092.7,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3
4,4,2,1,32,160,2,1,1,4,0,0,1,0,210,0,192.125,0.523,2095.56,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,4,0,3,1,0,210,0,192.125,0.523,2092.48,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3
4,4,2,1,32,160,2,1,1,6,0,3,1,0,175,0,192.125,0.523,2092.27,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3
4,4,2,1,32,160,2,1,1,6,4,3,1,0,175,0,192.125,0.523,2093.41,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,8,0,1,1,0,166,0,192.125,0.523,2092.48,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=1
4,4,2,1,32,160,2,1,0,4,0,0,1,0,210,0,192.125,0.523,2094.93,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,0,4,0,0,2,0,208,0,192.125,0.523,2094.19,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DPRELOAD_MODE=2 -DSTAGGER_CYCLES=160
4,4,2,0,32,120,2,1,1,4,0,0,1,0,209,0,192.125,0.524,2089.23,OK,-DSTAGGER_CYCLES=120
4,4,2,0,32,160,2,1,1,4,0,0,1,0,209,0,192.125,0.524,2088.31,OK,-DSTAGGER_CYCLES=160
4,4,2,1,32,80,2,1,1,4,0,0,1,0,210,0,192.125,0.524,2090.48,OK,-DMBAR_EARLY=1
4,4,2,1,32,120,2,1,1,4,0,0,1,0,210,0,192.125,0.524,2087.96,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=120
4,4,2,1,32,160,2,1,0,8,0,1,1,0,166,0,192.125,0.524,2088.46,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=1
4,4,2,1,32,160,2,1,1,6,0,0,1,0,175,0,192.125,0.524,2091.56,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,8,0,0,1,0,211,0,192.125,0.524,2091.32,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,1,8,4,0,1,0,211,0,192.125,0.524,2090.45,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,8,4,1,1,0,166,0,192.125,0.524,2091.58,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,8,4,3,1,0,211,0,192.125,0.524,2091.5,OK,-DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,0,32,80,2,1,1,4,0,0,1,0,209,0,192.125,0.525,2085.14,OK,
4,5,2,0,32,80,2,1,1,4,0,0,1,0,211,0,208.125,0.525,2085.8,OK,-DNUM_EPI_WARPS=5
4,4,2,0,32,100,2,1,1,4,0,0,1,0,209,0,192.125,0.525,2084.42,OK,-DSTAGGER_CYCLES=100
4,4,2,0,32,200,2,1,1,4,0,0,1,0,209,0,192.125,0.525,2085.1,OK,-DSTAGGER_CYCLES=200
4,4,2,1,32,40,2,1,1,4,0,0,1,0,210,0,192.125,0.525,2084.42,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,2,1,32,60,2,1,1,4,0,0,1,0,210,0,192.125,0.525,2086.75,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=60
4,4,2,1,32,100,2,1,1,4,0,0,1,0,210,0,192.125,0.525,2084.38,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,2,1,32,160,2,1,0,8,4,1,1,0,166,0,192.125,0.525,2086.54,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,4,4,0,1,0,210,0,192.125,0.525,2087.43,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,6,4,0,1,0,175,0,192.125,0.525,2086.68,OK,-DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,0,4,0,0,0,0,208,0,192.125,0.525,2086.86,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,0,4,0,0,1,1,211,0,192.125,0.525,2087.62,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DPREFETCH_BEFORE_STORE=1 -DSTAGGER_CYCLES=160
4,4,2,0,32,60,2,1,1,4,0,0,1,0,209,0,192.125,0.526,2080.64,OK,-DSTAGGER_CYCLES=60
4,4,2,1,32,200,2,1,1,4,0,0,1,0,210,0,192.125,0.526,2081.47,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,1,32,160,2,1,0,4,0,3,1,0,210,0,192.125,0.526,2080.22,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3
4,4,2,1,32,160,4,1,0,4,0,0,1,0,255,0,192.125,0.526,2080.53,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160
4,4,2,1,32,160,2,1,0,6,4,3,1,0,175,0,192.125,0.526,2081.34,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,4,1,0,8,4,0,1,0,255,0,192.125,0.526,2080.2,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DMBAR_EARLY=1 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=160 -DW0_LOOP_UNROLL=4
4,4,2,1,32,160,2,1,1,4,4,3,1,0,210,0,192.125,0.526,2080.46,OK,-DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
