
=== WALL TIME ===
label                                             ms    tflops  valid  regs  bars
----------------------------------------------------------------------------------
cublas_fc1_gemm                                1.424   3075.67      0    12     0
cublas_fc2_gemm                                1.101   3978.86      0    12     0
cutlass_fc2_fused                              1.225   3574.71      1    16     0
cutlass_fc2_strip                              1.152   3801.41      1    16     0
fc1_checkered_e2_p_fused                       3.247   1348.91      1   115     2
fc1_checkered_e2_p_gemm                        1.644   2664.61      1   149     2
fc1_checkered_e2_p_strip                       1.369   3199.52      0    75     0
fc1_checkered_p_fused                          2.021   2167.77      1   110     2
fc1_checkered_p_gemm                           1.687   2597.08      1   148     2
fc1_checkered_p_strip                          1.371   3195.75      0    75     0
fc1_default_e2_p_fused                         3.300   1327.27      1   108     2
fc1_default_e2_p_gemm                          1.796   2438.31      1   152     2
fc1_default_e2_p_strip                         1.380   3173.94      0    78     0
fc1_default_p_fused                            2.097   2088.75      1   105     2
fc1_default_p_gemm                             1.875   2335.81      1   152     2
fc1_default_p_strip                            1.381   3170.57      0    78     0
fc1_dg10_e2_p_fused                            3.307   1324.57      1   115     2
fc1_dg10_e2_p_gemm                             1.572   2786.12      1   153     2
fc1_dg10_e2_p_strip                            1.361   3217.36      0    78     0
fc1_dg10_p_fused                               2.087   2098.71      1   110     2
fc1_dg10_p_gemm                                1.641   2668.65      1   148     2
fc1_dg10_p_strip                               1.364   3211.26      0    78     0
fc1_dg12_e2_p_fused                            3.311   1323.00      1   115     2
fc1_dg12_e2_p_gemm                             1.592   2750.76      1   153     2
fc1_dg12_e2_p_strip                            1.371   3195.23      0    78     0
fc1_dg12_p_fused                               2.084   2102.06      1   110     2
fc1_dg12_p_gemm                                1.651   2653.62      1   148     2
fc1_dg12_p_strip                               1.374   3188.06      0    78     0
fc1_dg16_e2_p_fused                            3.311   1322.73      1   115     2
fc1_dg16_e2_p_gemm                             1.560   2808.60      1   153     2
fc1_dg16_e2_p_strip                            1.363   3212.48      0    78     0
fc1_dg16_p_fused                               2.093   2093.12      1   110     2
fc1_dg16_p_gemm                                1.632   2683.37      1   148     2
fc1_dg16_p_strip                               1.364   3210.87      0    78     0
fc1_dg24_e2_p_fused                            3.324   1317.82      1   115     2
fc1_dg24_e2_p_gemm                             1.577   2778.17      1   153     2
fc1_dg24_e2_p_strip                            1.370   3196.65      0    77     0
fc1_dg24_p_fused                               2.099   2086.66      1   110     2
fc1_dg24_p_gemm                                1.641   2669.85      1   148     2
fc1_dg24_p_strip                               1.371   3194.01      0    77     0
fc1_dg32_e2_p_fused                            3.337   1312.65      1   115     2
fc1_dg32_e2_p_gemm                             1.618   2706.25      1   153     2
fc1_dg32_e2_p_strip                            1.366   3206.78      0    77     0
fc1_dg32_p_fused                               2.097   2088.51      1   110     2
fc1_dg32_p_gemm                                1.710   2561.21      1   148     2
fc1_dg32_p_strip                               1.365   3207.79      0    77     0
fc1_dg4_e2_p_fused                             3.326   1316.80      1   115     2
fc1_dg4_e2_p_gemm                              1.628   2691.26      1   153     2
fc1_dg4_e2_p_strip                             1.394   3141.21      0    78     0
fc1_dg4_p_fused                                2.098   2088.13      1   110     2
fc1_dg4_p_gemm                                 1.662   2636.15      1   148     2
fc1_dg4_p_strip                                1.397   3135.79      0    78     0
fc1_dg6_e2_p_fused                             3.314   1321.69      1   115     2
fc1_dg6_e2_p_gemm                              1.643   2666.68      1   153     2
fc1_dg6_e2_p_strip                             1.365   3208.99      0    78     0
fc1_dg6_p_fused                                2.088   2098.22      1   110     2
fc1_dg6_p_gemm                                 1.670   2623.08      1   148     2
fc1_dg6_p_strip                                1.366   3206.67      0    78     0
fc1_dgsnake_e2_p_fused                         3.319   1319.63      1   115     2
fc1_dgsnake_e2_p_gemm                          1.645   2661.85      1   151     2
fc1_dgsnake_e2_p_strip                         1.380   3173.57      0    78     0
fc1_dgsnake_p_fused                            2.082   2103.46      1   110     2
fc1_dgsnake_p_gemm                             1.654   2647.75      1   148     2
fc1_dgsnake_p_strip                            1.383   3166.68      0    78     0
fc1_dgswizzle_e2_p_fused                       3.310   1323.20      1   115     2
fc1_dgswizzle_e2_p_gemm                        1.646   2661.42      1   153     2
fc1_dgswizzle_e2_p_strip                       1.379   3175.19      0    78     0
fc1_dgswizzle_p_fused                          2.095   2090.60      1   110     2
fc1_dgswizzle_p_gemm                           1.655   2647.18      1   148     2
fc1_dgswizzle_p_strip                          1.381   3171.69      0    78     0
fc1_hilbert_e2_p_fused                         3.457   1267.03      0   118     2
fc1_hilbert_e2_p_gemm                          1.484   2951.70      0   150     2
fc1_hilbert_e2_p_strip                         1.396   3136.47      0    88     0
fc1_hilbert_p_fused                            2.255   1942.19      0   112     2
fc1_hilbert_p_gemm                             1.697   2580.87      0   148     2
fc1_hilbert_p_strip                            1.436   3049.40      0    88     0
fc1_kstagger_e2_p_fused                        3.488   1255.84      1   116     2
fc1_kstagger_e2_p_gemm                         1.651   2652.57      1   158     2
fc1_kstagger_e2_p_strip                        1.382   3169.63      0    86     0
fc1_kstagger_p_fused                           2.047   2139.30      1   111     2
fc1_kstagger_p_gemm                            1.710   2561.80      1   158     2
