layer,approach,run,ms
patch_embed,our_kernel,0,0.526
patch_embed,our_kernel,1,0.524
patch_embed,our_kernel,2,0.526
patch_embed,our_kernel,3,0.525
patch_embed,our_kernel,4,0.526
patch_embed,our_kernel,5,0.527
patch_embed,our_kernel,6,0.524
patch_embed,our_kernel,7,0.528
patch_embed,our_kernel,8,0.522
patch_embed,our_kernel,9,0.526
fc1,our_kernel,0,2.327
fc1,our_kernel,1,2.387
fc1,our_kernel,2,2.282
fc1,our_kernel,3,2.307
fc1,our_kernel,4,2.378
fc1,our_kernel,5,2.305
fc1,our_kernel,6,2.316
fc1,our_kernel,7,2.326
fc1,our_kernel,8,2.308
fc1,our_kernel,9,2.306
fc2,our_kernel,0,1.466
fc2,our_kernel,1,1.466
fc2,our_kernel,2,1.468
fc2,our_kernel,3,1.47
fc2,our_kernel,4,1.471
fc2,our_kernel,5,1.468
fc2,our_kernel,6,1.467
fc2,our_kernel,7,1.467
fc2,our_kernel,8,1.47
fc2,our_kernel,9,1.47
