M	N	K	EPI	rank	status	ms	cyc	algoId	tile	stages	cluster	splitk	swizzle	waves	ws_MB	tile_name
928256	768	8192	3	3	OK	2.7215	5015656	66	32	36	-1	1	0	196.00	0.0	128x192
928256	256	1024	3	-	FAIL(0)	-	-	-	-	-	-	-	-	-	-	-
928256	256	2048	3	-	FAIL(0)	-	-	-	-	-	-	-	-	-	-	-
928256	256	4096	3	-	FAIL(0)	-	-	-	-	-	-	-	-	-	-	-
928256	256	8192	3	1	OK	1.3348	2461331	66	201	36	-1	1	0	71.28	0.0	176x128
928256	256	8192	3	2	OK	1.4519	2679328	66	24	36	-1	1	0	49.00	0.0	256x128
928256	256	8192	3	3	OK	1.4640	2700239	66	264	36	-1	1	0	32.68	0.0	id=264
928256	512	1024	3	-	FAIL(0)	-	-	-	-	-	-	-	-	-	-	-
928256	512	2048	3	-	FAIL(0)	-	-	-	-	-	-	-	-	-	-	-
928256	512	4096	3	1	OK	0.9584	1769160	66	23	36	-1	1	0	98.00	0.0	128x256
928256	512	4096	3	2	OK	0.9612	1773668	66	201	36	-1	1	0	142.57	0.0	176x128
928256	512	4096	3	3	OK	1.0481	1932651	66	513	36	-1	1	0	49.00	0.0	id=513
928256	512	8192	3	1	OK	1.8741	3458750	66	23	36	-1	1	0	98.00	0.0	128x256
928256	512	8192	3	2	OK	1.8930	3492624	66	201	36	-1	1	0	142.57	0.0	176x128
928256	512	8192	3	3	OK	1.9546	3605342	66	513	36	-1	1	0	49.00	0.0	id=513
928256	1024	1024	3	-	FAIL(0)	-	-	-	-	-	-	-	-	-	-	-
928256	1024	2048	3	1	OK	0.9854	1819340	66	23	36	-1	1	0	196.00	0.0	128x256
928256	1024	2048	3	2	OK	1.0329	1905726	66	201	36	-1	1	0	285.14	0.0	176x128
928256	1024	2048	3	3	OK	1.1265	2078202	66	184	36	-1	1	0	348.49	0.0	id=184
928256	1024	4096	3	1	OK	1.7948	3311796	66	201	36	-1	1	0	285.14	0.0	176x128
928256	1024	4096	3	2	OK	1.7948	3312078	66	23	36	-1	1	0	196.00	0.0	128x256
928256	1024	4096	3	3	OK	1.9611	3618071	66	184	36	-1	1	0	348.49	0.0	id=184
928256	1024	8192	3	1	OK	3.5457	6541679	66	23	36	-1	1	0	196.00	0.0	128x256
928256	1024	8192	3	2	OK	3.5679	6534248	66	201	36	-1	1	0	285.14	0.0	176x128
928256	1024	8192	3	3	OK	3.8156	7037817	66	513	36	-1	1	0	98.00	0.0	id=513
928256	2048	2048	3	1	OK	1.8612	3434171	66	23	36	-1	1	0	392.00	0.0	128x256
928256	2048	2048	3	2	OK	2.0015	3673504	66	32	36	-1	1	0	539.00	0.0	128x192
928256	2048	2048	3	3	OK	2.0339	3752596	66	201	36	-1	1	0	570.27	0.0	176x128
928256	2048	4096	3	1	OK	3.5266	6507037	66	201	36	-1	1	0	570.27	0.0	176x128
928256	2048	4096	3	2	OK	3.5313	6515828	66	23	36	-1	1	0	392.00	0.0	128x256
928256	2048	4096	3	3	OK	3.8005	6931384	66	32	36	-1	1	0	539.00	0.0	128x192
928256	2048	8192	3	1	OK	6.9921	12901378	66	23	36	-1	1	0	392.00	0.0	128x256
928256	2048	8192	3	2	OK	7.0863	12959857	66	201	36	-1	1	0	570.27	0.0	176x128
928256	2048	8192	3	3	OK	7.4962	13797073	66	32	36	-1	1	0	539.00	0.0	128x192
928256	256	1024	0	1	OK	0.2114	390384	66	184	36	-1	1	0	87.12	0.0	id=184
928256	256	1024	0	2	OK	0.2134	394241	66	201	36	-1	1	0	71.28	0.0	176x128
928256	256	1024	0	3	OK	0.2144	396036	66	20	36	-1	1	0	98.00	0.0	id=20
928256	256	2048	0	1	OK	0.3611	666431	66	201	36	-1	1	0	71.28	0.0	176x128
928256	256	2048	0	2	OK	0.3704	683553	66	184	36	-1	1	0	87.12	0.0	id=184
928256	256	2048	0	3	OK	0.3736	689228	66	165	36	-1	1	0	112.00	0.0	id=165
928256	256	4096	0	1	OK	0.6352	1172416	66	201	36	-1	1	0	71.28	0.0	176x128
928256	256	4096	0	2	OK	0.6878	1268896	66	20	36	-1	1	0	98.00	0.0	id=20
928256	256	4096	0	3	OK	0.6906	1274686	66	184	36	-1	1	0	87.12	0.0	id=184
928256	256	8192	0	1	OK	1.3313	2454669	66	201	36	-1	1	0	71.28	0.0	176x128
928256	256	8192	0	2	OK	1.4483	2673429	66	24	36	-1	1	0	49.00	0.0	256x128
928256	256	8192	0	3	OK	1.4600	2692855	66	264	36	-1	1	0	32.68	0.0	id=264
928256	512	1024	0	1	OK	0.3292	608261	66	23	36	-1	1	0	98.00	0.0	128x256
928256	512	1024	0	2	OK	0.3701	682772	66	513	36	-1	1	0	49.00	0.0	id=513
928256	512	1024	0	3	OK	0.3708	684290	66	31	36	-1	1	0	130.68	0.0	id=31
928256	512	2048	0	1	OK	0.5389	994816	66	23	36	-1	1	0	98.00	0.0	128x256
928256	512	2048	0	2	OK	0.5434	1002835	66	201	36	-1	1	0	142.57	0.0	176x128
928256	512	2048	0	3	OK	0.5840	1077265	66	513	36	-1	1	0	49.00	0.0	id=513
928256	512	4096	0	1	OK	0.9511	1755463	66	23	36	-1	1	0	98.00	0.0	128x256
928256	512	4096	0	2	OK	0.9525	1757768	66	201	36	-1	1	0	142.57	0.0	176x128
